 1st Single<br>2009.11.4,『I don’t obey ～僕らのプライド～』,I don’t obey ～僕らのプライド～<br>JUMPIN’ TO THE SKY
 2nd Single<br>2010.8.4,『僕らのナツ！！』,僕らのナツ！！<br>Lucky Days
 3rd Single<br>2011.1.1,『恋のダイヤル6700』,恋のダイヤル6700<br>ネバルノダ！
 4th Single<br>2011.7.20,『Like & Peace!』,Like & Peace!<br>恋の大予言<br>オープンセサミ
 5th Single<br>2012.1.4,『キラキラ Every day』,キラキラ Every day<br>にちようび
 6th Single<br>2012.5.2, 『I★my★me★mine / EZ DO DANCE』,I★my★me★mine<br>EZ DO DANCE
 7th Single<br>2012.8.15,『READY GO!! / Wake Me Up!』,READY GO!!<br>Wake Me Up!<br>ふしぎなげんそのうた
 8th Single<br>2012.11.7,『シェキメキ！』,シェキメキ！<br>CRAZY GONNA CRAZY<br>ロックンロール県庁所在地
 9th Single<br>2013.2.6,『COME ON！ / ドレミファソライロ』,COME ON！<br>ドレミファソライロ<br>Believe
 10th  Single<br>2013.5.15,『Hop! Step! ダンス↑↑』,Hop! Step! ダンス↑↑<br>Look at Me!
 11th Single<br>2013.8.14,『We are Dreamer』,We are Dreamer<br>神様 ヤーヤーヤー<br>パラリルラ♪
 12th Single<br>2014.4.23,『Break Out / ようかい体操第一』,Break Out<br>ようかい体操第一
 13th Single<br>2014.10.29,『ダン・ダン ドゥビ・ズバー!』,ダン・ダン ドゥビ・ズバー!<br>Summer Rainbow
 14th Single<br>2015.6.17,『ようかい体操第二』,ようかい体操第二<br>白黒つけない恋もある
