第1話,未来からの使者！？
第2話,アリは見ていた
第3話,雪男がやって来た！
第4話,ヒトミちゃんのラブラブトリック
第5話,ようこそ！ 浦島ハワイアンセンターへ
第6話,乙姫様コンテスト殺人事件
第7話,ふしぎの小学校幽霊事件
第8話,雨傘少女を追え！
第9話,野牛の暗号を解け！
第10話,奥義！ 爆裂納豆剣
第11話,眠れる大王とまぬけな王子たち
第12話,めざめた大王とまぬけな王子たち
第13話,キミは勇者だ！ イナバくんその気になる！？
第14話,勇者イナバくんの大冒険！
第15話,包丁人 カメ太郎 参上でやんす！！
第16話,鉄人包丁 カメ一文字 まな板の舞！
第17話,お宝探しで猛レース！！
第18話,金かくし大作戦！
第19話,なぞの転校生とねらわれた饅頭
第20話,あっぱれホーさん大活躍！
第21話,局ちゃん登場！ イナバくん タジタジ！？
第22話,アリス VS（と） 局！ 勝つのはどっちだ！？
第23話,荒井警部のこまった父さん
第24話,さらわれた姫子さん…
第25話,金・銀対決 初恋は忘れた頃にやって来る…
第26話,大騒動！ 百年伝説の謎
第27話,アリスを救え！ イナバくんがんばる！！
第28話,さよならホーさん また会う日まで…
