第1話,赤ちゃんは突然に
第2話,火を吹く赤ちゃん
第3話,まおちゃんを探せ！
第4話,まおちゃんの秘密
第5話,初めての保育園
第6話,カチカチ！？ バリバリ！？
第7話,パパとママがケンカ！？
第8話,まおちゃん、ピンチ！？
第9話,仲良し大作戦！
第10話,楽しいおゆうぎ会？
第11話,みんなのおゆうぎ会？
第12話,嵐のおゆうぎ会！
第13話,初めてのお泊り
第14話,ちびデビ探検隊
第15話,さよならまおちゃん
第16話,まおちゃんの保育日記
第17話,初めての気持ち
第18話,まおちゃん大暴れ！？
第19話,まおちゃんはどこに！？
第20話,ライちゃんのママ
第21話,しおりちゃんの本心
第22話,真さんとの出会い
第23話,ドキドキ公園デビュー
第24話,立て、まおちゃん！
第25話,ちびデビ運動会
第26話,カゼにご用心
第27話,告白大作戦！
第28話,注射はこわい？
第29話,おしゃべりまおちゃん
第30話,まんまとぱぁぱ
第33話,イライラかりんちゃん
第32話,ライちゃんのひみつ
第33話,ママへのプレゼント
第34話,まおちゃんのマイブーム
第35話,なぞのいきもの
第36話,おうちをつくろう
第37話,スキ？ キライ？
第38話,スーパーへ行こう
第39話,きぐるみいっぱい
第40話,おてつだい大好き！
第41話,かりんちゃんのハネ
第42話,ライちゃんの自動車
第43話,悪魔のおまつり？
第44話,夢のえほん
第45話,夢の大冒険
第46話,ちゅうして、まおちゃん
第47話,おこりんぼかりんちゃん
第48話,紙しばいお兄さん
第49話,小さなお客さん
第50話,つよがりまおちゃん
第51話,赤ちゃんがえり
第52話,悪魔の美容師さん
第53話,恋のライバル？
第54話,まおちゃんのかさ
第55話,悪魔界へ行こう！
第56話,ペペ家の秘密
第57話,トイレのおねえさん
第58話,かりんちゃんの戦い
第59話,ライちゃんとおねしょ
第60話,なにごっこ？
第61話,大きくなったら
第62話,山へ行こう！
第63話,新しい先生？
第64話,しつじってなぁに？
第65話,かりんちゃんの大挑戦
第66話,ねんどで対戦！
第67話,まおちゃんと赤ずきんちゃん
第68話,パパとおさんぽ
第69話,まおちゃんのクリスマス
第70話,おもちのもっちー
第71話,むしばをやっつけろ
第72話,みんなの朝
第73話,園長先生のカゼ
第74話,まおちゃん、宇宙へ！
第75話,みんなでただいま！
