第1話,絶滅動物をつかまえろ
第2話,仮想進化の世界へ
第3話,謎の生物あらわる！
第4話,パックからのS・O・S
第5話,バーチャル世界に異変あり
第6話,プグラシュティクの企み
第7話,ミトコンドリア・イヴを守れ！
第8話,人類の起源へ
第9話,発見！ プグラシュティクの弱点
第10話,決死の爆破作戦
第11話,敵の正体を解析せよ！
第12話,パック捕まる
第13話,大逆転への作戦会議
第14話,和平交渉成立せず！
第15話,猛火に追われる原猿たち
第16話,女戦士ティル
第17話,セラフィー誕生
第18話,三戦士の微妙な関係
第19話,ターゲットは共通の祖先
第20話,敵のわなを見破れ！
第21話,バン・ニーの策略
第22話,ティル処刑さる！？
第23話,フラウとティル 悲しき姉妹
第24話,決戦 巨大戦艦に潜入せよ！
第25話,ティルがもどれない！
第26話,三畳紀の絶滅を探れ！
第27話,不気味な巨大レンズ
第28話,進化ウイルスの謎
第29話,宇宙人あらわる！
第30話,進化への介入者
第33話,異星人との接触（コンタクト）
第32話,エウロパ人壊滅する！？
第33話,さらわれたパック
第34話,イクチオステガ救出作戦
第35話,エウロパ人を問いただせ！
第36話,驚異！！ スネーカーは実在する！
第37話,コンピュータ暴走の謎
第38話,息づく巨大生命体
第39話,疑われた虎哲
第40話,パックの中のパック
第41話,セラフィーの正体わかる！
第42話,秘められたパックの伝説
第43話,戦闘実行体の襲撃をかわせ！
第44話,生命誕生の時代へ
第45話,地球コンピュータ化計画
第46話,ジーンダイブの果て
第47話,生命の起源を守れ！
第48話,月へ！
第49話,スネーカーの本拠地をめざせ！
第50話,不気味な月面基地
第51話,地下迷宮の中へ
第52話,絶体絶命！！ 最強メカが襲う！
第53話,スネーカー出現！！
第54話,幻影の渦の中で
第55話,スネーカーが振り向くとき
第56話,人類の未来をかけて
