第1話,おっす!俺、面道つかさ!
第2話,ギガント大ピンチ
第3話,キングメンガーとの一日
第4話,今日から俺は！
第5話,イナズマギガント
第6話,世界一のギガントシューター
第7話,マナブの恋
第8話,カードファイター対ギガントシューター
第9話,キリトの秘密
第10話,決めるぜ!第一回ギガントバトル選手権!
第11話,バトル・オブ・マナブ
第12話,キリトの力
第13話,ごめん！ミル子
第14話,カムバック！つかさ
第15話,さらば！キングメンガー
第16話,俺、ギガントがやりたい
第17話,ニセ父ちゃん
第18話,激闘！タックマッチ
第19話,武闘派メンコ集団対つかさ
第20話,最強のギガント
第21話,恐怖！死の特訓
第22話,第一回ギガントバトルトーナメント開催！
第23話,ミル子対クリスティーン
第24話,目ざめてくれ！父ちゃん
第25話,GO！つかさGO！
第26話,1秒のギガント
第27話,マナブ対クリスティーン
第28話,つかさ対ジャンキー
第29話,父さん対俺
第30話,父ちゃんの秘密
第31話,激突！つかさ対キリト
第32話,俺が面道つかさだ！
