第1話,はじめてのへろへろ～/ぼくのことのまき1/ぼくのことのまき2
第2話,あったかハートでへろ～/留守番でんわ
第3話,パパと一緒にへろへろ～/なれるかなーその1/なれるかなーその2
第4話,へろ～んなパズルで遊ぼう/クレクレ君
第5話,お友だちとへろへろ～
第6話,大自然でへろへろ～/ファミリィレストラン
第7話,へろへろな健康診断
第8話,ロマンスはへろへろと共に/ビデオ
第9話,学校はとってもへろへろ～/でんしゃ
第10話,朝から晩までへろへろ～
第11話,ジジとババにへろ～
第12話,運動会はへろへろ～
第13話,がんばれパブパブ!
第14話,地球的なへろへろ～/ママの生活の知恵、へろへろの達人
第15話,男らしくいこう!
第16話,カゼをひいたらへろへろ～
第17話,演劇はへろへろだ!
第18話,へろへろな作文講座
第19話,ヘアーとへろ～でへろーん!
第20話,親切はへろへろ～
第21話,ママもへろへろ～
第22話,へろへろなご先祖さま～
第23話,ラジオ体操はへろへろ～
第24話,ママになりたい!
第25話,もそもそくんは不思議さ
第26話,動物園でへろへろ～
第27話,へろ～んと水族館
第28話,お店ごっこはへろへろ～
第29話,へろへろな平均台～
第30話,へろへろ虫にへろ～
第31話,ケッコンシキでへろへろ～
第32話,何になりたい?
第33話,クレーンゲームでへろへろ～
第34話,へろへろな習いごと
第35話,パパとママのメモリー
第36話,お風呂でへろへろ～
第37話,お留守番でへろへろ～
第38話,カード集めでへろへろ～
第39話,へろへろな台風
第40話,サラサラくんにへろ～
第41話,虫歯はイタイ～
第42話,やせ動物はへろへろ～
第43話,ご趣味はへろへろ～
第44話,つもりつもってへろへろ～
第45話,粘土工作はへろへろ～/にてるよーでにてない国語辞典 (1)
第46話,一人で寝るのはへろ～/デルデル社長 (1)
第47話,寝る子はへろい!/屁狼伝 (1)
第48話,ごっこ遊びでへろへろ～/へろい! (1)
第49話,スポーツはへろへろ～/にてるよーでにてない国語辞典 (2)
第50話,お食事はへろへろ～/デルデル社長 (2)
第51話,早いぞはやはやくん/屁狼伝 (2)
第52話,へろへろな赤ちゃん/へろい! (2)
第53話,マークはへろへろ～/にてるよーでにてない国語辞典 (3)
第54話,またまたやせ動物さん/デルデル社長 (3)
第55話,ガチャガチャくんはへろい!/屁狼伝 (3)
第56話,へろへろな世界一周/へろい! (3)
第57話,自転車でへろへろ～/にてるよーでにてない国語辞典 (4)
第58話,ジジの家出はへろへろ～/デルデル社長 (4)
第59話,シネマはへろへろ～/屁狼伝 (4)
第60話,ジジ帰るでへろへろ～/へろい! (4)
第61話,パパの秘密!?/にてるよーでにてない国語辞典 (5)
第62話,あれあれくんの一日/デルデル社長 (5)
第63話,もしもし一家はへろへろ～/屁狼伝 (5)
第64話,豪邸はへろへろ～/へろい! (5)
第65話,芸術はへろへろ～だ!/にてるよーでにてない国語辞典 (6)
第66話,こ～んな二階がへろい!/デルデル社長 (6)
第67話,商店街でへろへろ～/屁狼伝 (6)
第68話,へろへろ虫のハナ占い/へろい! (6)
第69話,温泉でへろへろ～/にてるよーでにてない国語辞典 (7)
第70話,デルデルランドへ行こう!/デルデル社長 (7)
第71話,インタビュ～でへろ～!/屁狼伝 (7)
第72話,へろへろ虫の遊園地/へろい! (7)
第73話,日直はへろへろ～/にてるよーでにてない国語辞典 (8)
第74話,カイテン? 回転? スシ～/デルデル社長 (8)
第75話,ラブラブはへろい!/屁狼伝 (8)
第76話,ピカピカちゃんの大そうじ/へろい! (8)
第77話,モリモリくんにご馳走様～/にてるよーでにてない国語辞典 (9)
第78話,バキバキちゃんの一撃!/デルデル社長 (9)
第79話,ナベピタは名コンビ?!/屁狼伝 (9)
第80話,お花屋さんでへろへろ～/へろい! (9)
第81話,バブバブちゃんはへろい!/にてるよーでにてない国語辞典 (10)
第82話,パタパタちゃんのイタズラ/デルデル社長 (10)
第83話,ユーレイはいる! いる?/お友達紹介コーナー (1)
第84話,ドキドキしたくてへろへろ～/へろい! (10)
第85話,燃えろメラメラ!/にてるよーでにてない国語辞典 (11)
第86話,偉大なるパチパチちゃん/デルデル社長 (11)
第87話,ペラペラちゃんのカンけり/お友達紹介コーナー (2)
第88話,もじもじちゃんの勇気/へろい! (11)
第89話,タビタビの世界ツアー/にてるよーでにてない国語辞典 (12)
第90話,きぐるみなお手伝い/デルデル社長 (12)
第91話,みるみるのクリスマス/にてるよーでにてない国語辞典 (13)
第92話,ウタウタちゃんののど自慢/いいはなし
第93話,うるうる3兄弟あらわる/へろい! (12)
第94話,いくぞ! ダンボット5（まえ）
第95話,いくぞ! ダンボット5（うしろ）
第96話,冬がさむいのは.../へろい! (13)
第97話,ジジの2階にいらっしゃい/にてるよーでにてない国語辞典 (14)
第98話,がんばれ! デルデル社長/デルデル社長 (13)
第99話,ジナジナちゃんの手品/お友達紹介コーナー (3)
第100話,モチモチちゃんとあそぼ～/へろい! (14)
第101話,へろへろの大冒険～魔人のおはなし
第102話,へろへろの大冒険～ミュンのおはなし
第103話,へろへろの大冒険～トゲトゲのおはなし
第104話,へろへろの大冒険～シータのおはなし
