第1話,シャドーマン誕生事件！！
第2話,シャドーマン誕生事件！！・続き
第3話,今日から仲間だ！ チュンチュン・ブイブイ事件
第4話,デ・アールからの挑戦状事件
第5話,水晶玉盗難事件！！
第6話,ライバル探偵光光太郎登場事件
第7話,おはよう娘。盗難事件！！
第8話,謎のお宝盗難事件！！
第9話,幻の切手盗難事件！！
第10話,野外訓練サバイバル事件！！
第11話,デ・アールの遊園地大作戦事件！！
第12話,電動カラクリ屋敷の甘い罠！！
第13話,お嬢様探偵参上事件！！
第14話,のろいのミイラ事件！！
第15話,さよならシャドーマンなのであ～る事件！！
第16話,カラーで変身！ 西部の大追跡事件！！
第17話,怪盗デ・アール七変化事件！！
第18話,海賊船の秘宝を守れ！！事件！！
第19話,探偵小学校競技会事件！！
第20話,ミラノ家の秘密！? テン子の里帰り事件！！
第21話,シャドーマシーン猛レース事件！！
第22話,チュンチュン誘拐事件！！
第23話,悪の帝王登場事件！！
第24話,悪の帝王登場事件！！
第25話,新型ゲーム機盗難事件！！
第26話,恐怖の窃盗団事件！！
第27話,兄弟怪盗ノ・アール参上事件！！
第28話,二人のカゲマン事件！！
第29話,ファッションショー潜入捜査事件！！
第30話,スーパースター危機一髪事件！！
第31話,過去へ行ったカゲマン達事件！！
第32話,過去へ行ったカゲマン達事件！！
第33話,メカ探偵との対決事件！！
第34話,カゲマンの帽子の謎事件！！
第35話,カゲマンの誕生日事件！！
第36話,いらっしゃーい！！ ジパングシティで大冒険事件！！
第37話,デ・アールの依頼事件！！
第38話,ディテクティブ・シティ大襲撃事件！！ [前編]
第39話,ディテクティブ・シティ大襲撃事件！！ [後編]
