第1話,学校の怪談VS黒魔女さん
第2話,サイクリングです 黒魔女さん
第3話,黒魔女さん おおいにモテる
第4話,初恋ですよ黒魔女さん
第5話,黒魔女さんのネコネコ大騒動
第6話,黒魔女さん原宿へゆく
第7話,黒魔女さんとホラーな遠足
第8話,黒魔女さんは恋と料理が苦手
第9話,黒魔女さん厄払いに挑戦する
第10話,黒魔女さんテレビに出る
第11話,まったりしましょう黒魔女さん
第12話,黒魔女さんのシンデレラ（前編）
第13話,黒魔女さんのシンデレラ（後編）
第14話,黒魔女さんはおねえちゃん？（前編）
第15話,黒魔女さんはおねえちゃん？（後編）
第16話,黒魔女さんの授業参観
第17話,黒魔女さんの運動会（前編）
第18話,黒魔女さんの運動会（後編）
第19話,黒魔女さんのハロウィーン・１
第20話,黒魔女さんのハロウィーン・２
第21話,黒魔女さんのハロウィーン・３
第22話,犬もあるけば黒魔女さん？！
第23話,黒魔女さんプールの幽霊にビビる（前編）
第24話,黒魔女さんプールの幽霊にビビる（後編）
第25話,悪魔の図書室
第26話,黒魔女さんは一日にしてならず
第27話,おかしなお菓子なケーキ合戦（前編）
第28話,おかしなお菓子なケーキ合戦（後編）
第29話,放課後は生け贄の儀式？！
第30話,バレンタイン・パニック！
第31話,卒業アルバムはオカルトの匂い（前編）
第32話,卒業アルバムはオカルトの匂い（後編）
第33話,黒魔女さんと桜の樹
第34話,黒魔女さんの文房具店
第35話,黒魔女さんと落語
第36話,黒魔女さんの喧嘩大騒動
第37話,小さくなった黒魔女さん
第38話,黒魔女さんのおばあちゃん
第39話,黒魔女さんと夢魔くら
第40話,黒魔女さんは占いがお好き？！
第41話,黒魔女さん魔界へゆく（前編）
第42話,黒魔女さん魔界へゆく（後編）
第43話,黒魔女さんと赤い糸・1
第44話,黒魔女さんと赤い糸・2
第45話,黒魔女さんと赤い糸・3
第46話,黒魔女さんは水泳が苦手？！
第47話,アニマルですよ黒魔女さん
第48話,匂いが見える黒魔女さん
第49話,黒魔女さんの学芸会
第50話,黒魔女さんの秋祭り（前編）
第51話,黒魔女さんの秋祭り（後編）
第52話,黒魔女さんとダル魔さん
第53話,黒魔女さんのクリスマス・1
第54話,黒魔女さんのクリスマス・2
第55話,黒魔女さんのクリスマス・3
第56話,黒魔女さんのクリスマス・4
第57話,黒魔女さんとマダム天天
第58話,黒魔女さんとパン泥棒？！
第59話,黒魔女さんのお手紙（前編）
第60話,黒魔女さんのお手紙（後編）
