第1話,プロローグ
第2話,恐竜大接近
第3話,生存のおきて
第4話,レイとの出会い
第5話,謎のタイムホール
第6話,翼竜が襲う
第7話,恐怖のかぎ爪
第8話,レイがいない！
第9話,こたえて、萌
第10話,恐竜たちの墓場
第11話,不気味な恐竜ハンター
第12話,見たぞ！ おたすけマン
第13話,首狩り鎌が襲う
第14話,タイムホール緊急脱出
第15話,カマキリ男の追撃
第16話,レイがさらわれた！
第17話,潜入！ カマキリ男の基地
第18話,脱出失敗 予期せぬ同伴者
第19話,カマキリ男の正体
第20話,恐竜人類ハル
第21話,恐竜絶滅の謎
第22話,ハルは何者？
第23話,驚異の恐竜軍団
第24話,萌つかまる！
第25話,恐竜人類の野望
第26話,“草食い”現る
第27話,タイムホールの彼方へ
第28話,さよならレイ
第29話,レイに会いたい！
第30話,ふたたびバーチャル大陸へ
第31話,強敵 改造恐竜現る
第32話,恐竜都市リューネ
第33話,不気味な宇宙の眼計画
第34話,努を送り込め
第35話,謎の巨人現る
第36話,隠されたレイの力
第37話,フォロル族の決断
第38話,ねらわれる恐竜はどこに？
第39話,いたぞ！ 最古の恐竜
第40話,ドン大活躍
第41話,始祖鳥を守れ！
第42話,底なし沼の惨劇
第43話,イグアノドン救出作戦
第44話,おそるべし！ 怪物ラプター
第45話,マザー・シルの思惑
第46話,謎のロボットを追え！
第47話,巨大砂嵐が襲う
第48話,海峡をわたる恐竜たち
第49話,ティラノサウルスの王誕生
第50話,宇宙の眼 最後のターゲット
第51話,マザー・シルつかまる！
第52話,二大恐竜 死の決戦
第53話,発動！ 宇宙の眼
第54話,戦いの地へ
第55話,敵か味方か？ マザー・シル
第56話,ラプターの最期
第57話,迫りくる恐怖の彗星
第58話,恐竜人類最期の賭け
第59話,巨人ドンの命
第60話,さよならバーチャル大陸
