第1話,女王、卑弥呼！
第2話,その猫、織田信長！
第3話,幕末に龍馬あり！〜青春編〜
第4話,スーパーキャット、聖徳太子！
第5話,新選組、疾風伝！
第6話,家康は天下の苦労人！〜関ヶ原編〜
第7話,戦上手、真田幸村！～迷走!?編～
第8話,平安絵巻、紫式部！
第9話,源頼朝、鎌倉に立つ！
第10話,がんばれ、藤原道長！
第11話,無敵、武田信玄伝説！
第12話,おしゃれ独眼竜政宗！〜大ピンチ編〜
第13話,幕末に龍馬あり！～ねこねこの夜明け編～
第14話,ドキドキ、縄文人！
第15話,戦上手、真田幸村！～大坂の陣編～
第16話,家康は天下の苦労人！〜しかめっつら編〜
第17話,足利尊氏、ゼッコーチョー！
第18話,ヒーロー大塩平八郎、見参！
第19話,清少納言、いとをかし！
第20話,いぬいぬ将軍、徳川綱吉！
第21話,新選組、青春編！
第22話,若武者、源義経！
第23話,ねこねこマップだ、伊能忠敬！
第24話,忠臣蔵だよ、大石内蔵助！
第25話,宮本武蔵、天下一なり！
第26話,いくぜ信長、桶狭間！
第27話,女領主井伊直虎、誕生編！
第28話,はだかン坊将軍、徳川吉宗！
第29話,正直すぎ、石田三成！
第30話,輝け、大仏開眼！
第31話,お市と浅井三姉妹、嫁入り大作戦！
第32話,秀吉はサルである！
第33話,めざせ豊作、弥生人！
第34話,みんな大好き、上杉謙信！～毘沙門天編～
第35話,平清盛、武士である！
第36話,旅ゆけば、松尾芭蕉！
第37話,迎え撃て、北条時宗！
第38話,幕末のゴッド姉ちゃん、篤姫！
第39話,反逆のコレクター、平将門！
第40話,それいけ、遣唐使！
第41話,新選組！〜大混乱編〜
第42話,超絶マルチクリエイターキャット、平賀源内！
第43話,けっこうやり手、今川義元！
第44話,はみだし先生、吉田松陰！
第45話,みんな大好き、上杉謙信！～最強にかわいい龍編～
第46話,いざ、大化の改新！
第47話,まるっとまとめて、毛利元就！
第48話,祝！？ねこねこ日本、開国！
第49話,チャチャチャの利休！
第50話,足利義満、むちゃくちゃゼッコーチョー！
第51話,鬼の土方歳三、北へ向かう！
第52話,恐怖マムシ男、斎藤道三！
第53話,ラ・ラ・蘭学、杉田玄白！
第54話,破天荒シンガー、高杉晋作！～破天荒度序の口編～
第55話,行け行け一番、井伊直政！
第56話,戦国・愛され系男子、直江兼続！
第57話,戦国の女はつらいよ、細川ガラシャ！
第58話,船だいきらい、阿倍仲麻呂！
第59話,コツコツ働く、二宮金次郎！
第60話,葛飾北斎、描きまくる！
第61話,春日局は燃えている！
第62話,天才軍師・竹中半兵衛、ここにあり！
第63話,GOGO江！〜われらは浅井三姉妹〜
第64話,破天荒シンガー、高杉晋作！～破天荒度ＭＡＸ編～
第65話,やさしさは力なり、西郷隆盛！〜どんどん出世編〜
第66話,なんでもやる課、安倍晴明！
第67話,幕末に龍馬あり！～ベンチャー侍編～
第68話,なにがなんだか応仁の乱！
第69話,みんなでつくろう、古墳時代！
第70話,大ヒット御礼、猫氏物語！
第71話,夫婦で乗り切れ、前田利家！
第72話,天神様だぞ、菅原道真！
第73話,天下を取るぜ伊達政宗！〜やっぱ伊達だね編〜
第74話,無敵！素敵！沖田総司！
第75話,静かなるアイドル伝説、静御前！
第76話,どら息子ねこ、柳生十兵衛！
第77話,おもしろさ無限大、古事記！
第78話,とんちをきかせろ、一休宗純さん！
第79話,猫なのに、里見八犬伝！
第80話,お使いは伝説へ･･･ヤマトタケル！
第81話,忍者ってなんじゃ？
第82話,パパは忍者、服部半蔵！
第83話,ノンストップアーティスト、狩野永徳！
第84話,どうなる？どうする？薩長同盟！
第85話,西郷の顔も三度まで！？～モリモリ進軍編～
第86話,信長包囲網、その影にコンビ愛あり！
第87話,仏様を造る男たち、運慶・快慶！
第88話,ここは黄金パラダイス、奥州藤原氏！
第89話,レッツゴー！参勤交代！
第90話,弱きを助け強きをくじく下克上、北条早雲！
第91話,変身だ！炎の武将、長宗我部元親！
第92話,レッツエンジョイ九州統一、島津義弘！
第93話,五人そろって小田原北条氏！
第94話,聞けば爽快！？空海！
第95話,百猫えらんで、百猫一首！
第96話,家康は天下の苦労人！〜伊賀越え編〜
第97話,寒さと空腹は敵だ、旧石器時代！
第98話,戦国一の世渡り上手！？真田昌幸！
第99話,ニャンとかせんと、遷都物語！
第100話,強いぞ！強いの！？つわもの加藤清正！
第101話,私は人気脚本家、近松門左衛門！
第102話,ノンストップ好奇心、徳川光圀！
第103話,尼将軍はアマくない、北条政子！
第104話,いざ出陣、ビフォー関ヶ原！
第105話,あぁ大変、アフター関ヶ原！
第106話,私は幕末の宝だ、佐久間象山大先生！
第107話,万葉集きっての歌姫、額田王！
第108話,幸村ヒーロー伝説、真田十勇士！
第109話,目指せお金持ち、小林一茶これにあり！
第110話,やっぱり新選組、回想録！
第111話,いろいろ試して百二十年、江戸三大改革！
第112話,山本八重は見た、幕末会津物語！
第113話,アルティメット女武者、巴御前！
第114話,最後の将軍になっちゃった、徳川慶喜！
第115話,万の言葉を集めよう、万葉集！
第116話,キバ軍団にこの猫あり、山本勘助！
第117話,お江戸で暮らそう！〜就職活動編〜
第118話,頼れる弟ナンバー１、豊臣秀長！
第119話,しくじった？やりきった！大友宗麟！
第120話,天下取りはお任せを、黒田官兵衛！
第121話,戦国最後の将軍にすべりこめ、足利義昭！
第122話,食べられなくても役立つ猫草、徒然猫草！
第123話,千年前から萌えを叫ぶ、更級日記！
第124話,坊主が屏風に上手に描くのは坊主どころの話じゃない、雪舟！
第125話,史上最大の兄弟ゲンカ、足利尊氏ＶＳ直義！
第126話,長崎出島は、いつでも大騒ぎ！
第127話,敵は本能寺にあり！明智光秀！！
第128話,三日天下じゃ短すぎ！明智光秀！！
第129話,邪馬台国を守れ、女王・卑弥呼！
第130話,信長と濃姫、愛し合ってるかい！？
第131話,んモ～なお医者さん、緒方洪庵おがたこうあん！
第132話,戦国一のしょっぱい関係、信玄と謙信！
第133話,戦わずして勝つ、塚原卜伝！
第134話,歌って書いて即解決、柿本人麻呂
第135話,おしゃれは戦だ、伊達政宗！
第136話,大変な一生だったカモ？方丈鳥記！　
第137話,家康VS秀吉、天下分け目の激突！？　
第138話,女子力は花ざかり、国風文化！
