第1話,ゴマちゃんがきた！
第2話,およげ！ゴマちゃん
第3話,マイスが食べたい！
第4話,アシベくんに会いたい！
第5話,ドキドキ! 水族館!
第6話,ゴマちゃんがほしい！
第7話,スガオくんの先生
第8話,ペッペッペッさんのゆううつ
第9話,わんわん軒のリャンリャン
第10話,アシベくんからの手紙
第11話,夏だ！プールだ！ゴマちゃんだ！
第12話,みんなウトウト
第13話,夏だ！海だ！ゴマちゃんだ！
第14話,アシベの参観日
第15話,ゴマちゃんVSネコ
第16話,はい！チーズ！
第17話,とべ！とべ！ゴマちゃん！
第18話,よーいドン！
第19話,天堂先生のお見合い
第20話,スマイル！完治くん！
第21話,帰ってきて 母ちゃん！
第22話,ゆうまくんちのヒミツ
第23話,ゴマちゃんになりたい！
第24話,ゴマちゃん 魚市場へいく
第25話,ゴマちゃんと雪
第26話,年忘れ！ゴマちゃん歌合戦！
第27話,ゴマちゃんなんて大キライ！
第28話,先生の修行
第29話,みんなで温泉旅行
第30話,アシベくんにとどけ！
第31話,アシベの誕生日
第32話,スガオくんに会いにいこう！
第33話,帰ってきたゴマちゃん
第34話,今日から新学期！
第35話,ケロケロゴマちゃん
第36話,飛べ！ゴマちゃん号
第37話,イエティがいっぱい！
第38話,ペッペッペッさん危機一髪！
第39話,ドキドキ歯医者さん！
第40話,ヒミツの母ちゃん
第41話,完治くんとこねこ
第42話,雨ふりゴマちゃん
第43話,アザラシの恩返し
第44話,キャンプでキュー！
第45話,アシベとスガオの夏祭り
第46話,わんわんゴマちゃん
第47話,オイラはヒーロー！
第48話,やきもちゴマちゃん
第49話,ゴマちゃんホテルへようこそ！
第50話,奈良名所巡りミステリー
第51話,ペッペッペッさんのケーキ教室
第52話,スガオパパと巻き毛
第53話,南先生のメガネ
第54話,おやすみひらお
第55話,ペッペッペッさんのヒ・ミ・ツ
第56話,リャンリャンとヒトシくん
第57話,打倒！博愛固め
第58話,おたすけゴマちゃん
第59話,星に願いを
第60話,さらばアスニクル
第61話,ゴマちゃん オン アイス
第62話,さっぽろゴマちゃん
第63話,さよならなんて言わないよ！
第64話,ごめんねゴマちゃん
第65話,スーパーアザラシ ゴマちゃん
第66話,オイラたちに明日はない！
第67話,ゴマボが来た！
第68話,アスニクルにロボガクル
第69話,ゴマちゃんVS赤ちゃん
第70話,走れ！ゴマちゃん
第71話,アシベのポケット
第72話,チットちゃんの贈り物
第73話,おかえりスガオくん！
第74話,スガオVSゴマちゃん
第75話,夜ふかしアシベ
第76話,メ～メ～ゴマちゃん
第77話,恋する湘南海岸ミステリー
第78話,ゴマちゃんと影
第79話,さよなら天堂先生
第80話,つまみぐい
第81話,激ウマ！チャーハン選手権
第82話,大人なアシベ
第83話,アシベと魔法のランプ
第84話,名探偵ゆうま
第85話,商人アシベ
第86話,ゴマのフレンズ
第87話,面接官アシベ
第88話,アシベのヒミツ
第89話,ユミコのしりとり道場
第90話,GO!GO!ゴマチューバー
第91話,ゴマデレラ
第92話,ゴマちゃんの雪まつり
第93話,チットちゃんにとどけ！
第94話,ゴマちゃん卒業
第95話,ドットちゃんとゴマちゃん
第96話,みんなの想い
第97話,ゴマちゃんのおうち
第98話,フォトちゃん　天使の歌声
第99話,ごめんなさい
第100話,あたらしいともだち
第101話,サカタのこい
第102話,だきつきたい
第103話,まねきゴマちゃん
第104話,お手伝いアシベ
第105話,みんなでケロケロ
第106話,あさがおを咲かせよう
第107話,夏のおくりもの
第108話,お世話になります
第109話,キューテレ放送中！
第110話,ほしいものがいっぱい
第111話,ゴマちゃんとルリコちゃん
第112話,くりひろいはナゾだらけ
第113話,タイヘンな運動会
第114話,かまってゴマちゃん
第115話,おそうじパニック
第116話,サッカー大好き
第117話,ＹＯ！ＹＯ！ゴマちゃん
第118話,マコトちゃんのゴマちゃん？
第119話,ゴマちゃんのクリスマス前編
第120話,ゴマちゃんのクリスマス後編
