第1話,おふろのスペシャルフルコース
第2話,つぼからぬけなくなっちゃった？
第3話,はかせとくせいなないろはみがき
第4話,おねしょをしたのはだあれ？
第5話,おてがみくるとうれしいね
第6話,マービーのはじめてのおつかい
第7話,まいごのまいごのこいぬちゃん
第8話,ノーマさんのスタイルブック
第9話,すごいよ！ナナおばさん
第10話,あめのひはケロケロパーティ
第11話,ひみつのロボだ！うー1号
第12話,みんなのゆめのくつみがき
第13話,オトナニナレールをのむと…？
第14話,シーツのむこうにナゾのかげ
第15話,みんなでカレーつくっちゃえ！
第16話,ゆめのなかのうちゅうりょこう
第17話,すてきなねまきでだいへんしん！
第18話,リモコンだこはひとあじちがう？
第19話,はかせのかのじょがわんさかきたよ
第20話,ふしぎなしゃぼんだま
第21話,こんどのやすみはどこへいく？
第22話,おかしなおかしなプレゼント
第23話,ごめんなさいスージーちゃん
第24話,みんなだいすきサンドイッチ
第25話,いとでんわでないしょつうしん
第26話,さむいさむーいおともだち
第27話,こいぬのおもりはもういやだ！？
第28話,すてきなおもいで
第29話,たまごがわれたらガーデンパーティー？
第30話,こまったときはおたがいさま
第33話,そらをみてたらおもったよ
第32話,はかせのああかんちがい
第33話,みんなそろってファッションショー
第34話,ふしぎなたねはなんのたね？
第35話,マービー、けしょうにめざめる！？
第36話,てるてるぼうずもたいへんだ
第37話,やっぱりいもうとがすき？
第38話,スーパードッグ アルフくんのひみつ
第39話,なつがくれたおくりもの
第40話,なんきょくのすてきなリゾート
第41話,むしのうんどうかいはたのしいな
第42話,おいしいことはみんなでね！
第43話,ねこたちのゆうがないちにち
第44話,ナナおばさんのパンプキンパイ
第45話,ほしのせいさん、こんばんは
第46話,マービーのおつかいは……？
第47話,はかせのレディようせいこうざ
第48話,ナナおばさんのドールハウス
第49話,スージーホテルへいらっしゃい
第50話,きゅうきゅうしゃだいすき！
第51話,こわれちゃったかみかざり
第52話,おうちがかじだ!たいへんだ！
第53話,ガレージセールへいらっしゃい
第54話,みえるみえるピンホールカメラ
第55話,あわてんぼうのノーマさん
第56話,まよなかのおたのしみ
第57話,うらないなんてしんじない？
第58話,スージーちゃんはめいカメラマン？
第59話,デニーさんはしゅうりめいじん
第60話,ゆうれいやしきでだいパニック
第61話,おひるねちゅうはおしずかに
第62話,ふしぎなみずたまり
第63話,ノーマさんのいちだいじ
第64話,たいへん！チケットをおとしちゃった
第65話,おもいでキルト
第66話,なきぬれてふたりたび
第67話,ペンキぬりはひとくろう！？
第68話,おうまさんはヘンクツさん
第69話,あかいはっぱ きいろいはっぱ
第70話,あこがれのタイプライター
第71話,ちょうへーき？うー2号！
第72話,はっけん！きょうりゅうのたまご？
第73話,スージーちゃんがだいへんしん？
第74話,イネコちゃんがおねえちゃん！？
第75話,とうめいはかせ、あらわる？
第76話,ちょっぴりおとなのきぶん
第77話,ぼくじょうへいったよ
第78話,つまみぐいはだれのしわざ？
第79話,たあいへん！あらしがきちゃった(前編)
第80話,たあいへん！あらしがきちゃった(後編)
第81話,スージーちゃんもたまにはね
第82話,マービーのちいさなともだち
第83話,はかせのきゅうきょくだいはつめい？
第84話,りんごがいっぱい
第85話,ミシンでだいへんしん
第86話,ふゆのおうじさま
第87話,さむくてたのしい、ふゆのあさ
第88話,せかいでたったひとつのえほん
第89話,まいおりたゆきのしょうじょ
第90話,ゆきのせかいになつがきた！？
第91話,みんなでめざせくものうえ
第92話,すてきなホワイトクリスマス
第93話,いきたくなったとおもったら
第94話,マービーのこわいもの
第95話,マービーのちちゅうたんけん
第96話,くまちゃんがしゃべった？
第97話,わがまちはっけんツアー
第98話,おっきくなあれ、マービー
第99話,アルフくんがおひっこし！？
第100話,はかせのはつめいグランプリ
第101話,ハナちゃんがしゃべった！？
第102話,なんきょくフェスティバル
第103話,たのしいホームコンサート
第104話,みんなだいすきスージーちゃん
