第1話,朝はとつぜんやってきたの巻
第2話,嵐のようなアイツの巻
第3話,キミの家はボクの家?の巻
第4話,ロケットヌペペの巻
第5話,ドン・グリレオーネの巻
第6話,ヨーセーてなに！？の巻
第7話,インテリアバトルの巻
第8話,不思議なヌペペの巻
第9話,森のうーさん!の巻
第10話,キャプテン・ローリー！の巻
第11話,穴掘りの醍醐味の巻
第12話,炸裂！ ガールズトークの巻
第13話,右曲がりの一日の巻
第14話,ハラペロポローン！の巻
第15話,ドン・グリレオーネの復讐の巻
第16話,ローリーの個人授業の巻
第17話,ヨクトの丘の生物Ｘの巻
第18話,謎の石板の巻
第19話,セバスチャン・Jr登場！の巻
第20話,バニ登場！の巻
第21話,機械男の巻
第22話,おかしなズモモの巻
第23話,おばあちゃんの知恵袋の巻
第24話,セバスチャン・Jrの野望の巻
第25話,マッシーン奪取作戦の巻
第26話,マッシーン出現！の巻
第27話,うーさんの診察の巻
第28話,みんなでつくろう！の巻
第29話,ハプニングは想定外の巻
第30話,マッシーン完成!の巻
第31話,その時ヌペペはの巻
第32話,新たな旅立ちの巻
