６月５日,笠原拓巳,笠原 拓巳のLOVE　カレーライス２５%：漢方薬２５%：沖縄の・・・２５%：香川の・・・２５%
６月６日,千葉一磨,チバカズマLOVE　しょうゆラーメン４５%：みそラーメン２５%：塩ラーメン２０%：うどん８%：天テレ２%
６月７日,中村あやの,♡中村♡あやのL♡VE♡　くま９０%：ブタ５%：うさぎ５%
６月８日,こんどん(近藤春菜),こんどんの　LOVE　てれび戦士の事を考えながら食事５０%：てれび戦士の事を考えながら寝る事５０%
６月９日,長谷川あかり,長谷川あかりのLOVE　お肉♡２５%：あそび１５%：Ｙｕｉさん１０%：空手✧✧１０%：ねる！１０% 　こんな感じ！！
６月１０日,山田樹里亜,じゅりあのLOVE♡　フルーツ２９%：天てれ２５%：お姫様２０%：おかし１８%：バック８%　フルーツ 大好き！！　天てれ♥　お姫様
６月１１日,加藤ジーナ,加藤 ジーナのL♡ve　動物：本：あんこ：りぼん
６月１２日,重本ことり,ことりのLove💕　歌🎤：ねるzzz ♡グー
６月１３日,小関裕太,小関裕太　NO　LOVE　すし１０%：学校１０%：友達２０%：家族２０%：その他４０%
６月１４日,武田聖夜,好きな食べ物グラフ　のし梅４５%：のり天２０%：ラーメン２０%：チョコ１５%
６月１５日,島田翼,好きなサンドウィッチグラフ！　70％ バナマヨ！（バナナマヨネーズサンド） 島田家特製！：BLTサンド20％ ：メープルサンド10％
６月１６日,田中理来,好きなこと　ダンス（ブレイク）４０%：ダンス（ＨＩＰ-ＨＯＰ）３０%：読書３０%
６月１７日,みのぽー(箕輪はるか),みのぽ～のLOVE　ミニカー…２２%：ゲーム…１９% ：喫茶店…１９%：寝ること…１２% ：うどん…６%：テレビ戦士のみんな…２０%：こんどん…２%
