８月２４日,荒木次元,せなは、　TVに写ってない　時は、メチャクチャおしゃべり　とのウワサ？！
８月２５日,ミッチェルベンジャミン,裕太くんは『梅』係　のおかしがないと、　泣くとのうわさ！？
８月２６日,田中理来,ことりは、とつぜん「家族コント」　をはじめて、参加しないと　すぐ怒るとのウワサ？！
８月２７日,長谷川あかり,てれび戦士の男子は、　皆でホテルに泊まると....　必ずいっしょにおふろに　入るとのウワサ！？
８月２８日,武田聖夜,拓巳は皆に自分のこと　を「汗かき王子」と呼ば　せている？？？
８月２９日,重本ことり,てれび戦士は、　全員３０才を　こえているとのウワサ！？
８月３０日,鍋本帆乃香,翔太君はカッコつけてる　と思われてるけど　本当は動くのが　ニガテなだけとのうわさ！？
８月３１日,水本凜,ジーナは、うちゅう人　と親せきで、ＵＦＯ　がよべる！とのうわさ！
９月１日,細田羅夢,樹音は寝ている時　口を大きく聞けるとの　噂？！　★細田羅夢🍀
９月２日,木村遼,あやのは、　天てれで一番　大食いとのうわさ
９月３日,渡邉聖斗,ことりがぼくを、　怒っていると聞いた事　があります。　なぜですか？　聖斗　
９月４日,中村あやの,らむ姉さんは、　ふだんから洋服　の色づかいを気　にするほど、　♡オシャレ♡　♡あやの♡
９月５日,千葉一磨,一磨　拓巳は、普段　「俺は面白れぇ」と言っている
９月６日,藤井千帆,樹音は、　毎朝起きると、　ひげダンスをする　らしい....。　都市伝説
９月７日,伊藤元太,りくと元太はすごい　そっくり！じつは　ふたごかも...
９月８日,メロディーチューバック,らむちゃんは　実は　１７才だった！
９月９日,笠原拓巳,拓巳は、全ての事を　〝しりとり〟で考える　とのウワサ？！
９月１０日,川﨑樹音,凜の体の半分は　ティッシュペーパーで　出来ているとの噂？！
９月１１日,吉野翔太,羅夢のなみだを見ると　願いが一つかなう　とのうわさ！？
９月１２日,小関裕太,あのジーナが　最近　おしとやか　宣言との噂！？
９月１３日,山田樹里亜,ことりは、　″こわい話がにがて„　だと言うウワサ！？　キャー！！
９月１４日,島田翼,ぼくとベンジャミン　は、　先祖が同じ？！　とのウワサ！！
９月１５日,加藤ジーナ,山田樹里亜は、　水を見ると　こうふん　らしい！　天てれ 都市伝説
