１１月９日,荒木次元,《デザイン》次元　セニョリータ　うまじ　UMAJI
１１月１０日,,更新なし
１１月１１日,笠原拓巳,《デザイン》笑　”笑い”があれば　すべて良し
１１月１２日,中村あやの,《デザイン》いつでも　夏　だ～！
１１月１３日,丸山瀬南,《デザイン》(絵)
１１月１４日,加藤ジーナ,《デザイン》GiNA　GiNA　GiNA　GiNA　GiNA　GiNA　GiNA　GiNA
１１月１５日,川﨑樹音,《デザイン》Hoojya🍃
１１月１６日,吉野翔太,《デザイン》天てれ　２００８　吉野翔太
１１月１７日,武田聖夜,《デザイン》風林火山　武田聖夜より
１１月１８日,重本ことり,《デザイン》I 　LOVE　MUSIC　天てれ　２００８♡　cotori♡
１１月１９日,田中理来,《デザイン》DORICK　田中理来
１１月２０日,ミッチェルベンジャミン,《デザイン》ミナリカ　ベンジャミン
１１月２１日,細田羅夢,《デザイン》２００８　プッカリーノ　羅夢　わっしょい　MTK　おしゃレスキュー　木生　紙フト　マイク
１１月２２日,長谷川あかり,《デザイン》オメデトウ■
１１月２３日,小関裕太,《デザイン》TTK
１１月２４日,山田樹里亜,《デザイン》HAPPY
１１月２５日,藤井千帆,《デザイン》テンション上げっよ？　SMILE
１１月２６日,鍋本帆乃香,《デザイン》夏　夏　大阪　HONOKA　HONOKA　大阪と言えば　おばちゃん♡　たこ焼き♡　お好み焼き♡　お笑い♡♡♡　ほかにも　いっぱいあんでぇ～
１１月２７日,渡邉聖斗,《デザイン》ケシピン
