１２月８日,川﨑樹音,２００９年まで　あと２４日　樹音でした！　
１２月９日,千葉一磨,２００９年まで　あと２３日
１２月１０日,細田羅夢,２００９まで...　２２日　わらって　待とうゼ⇈　RAM
１２月１１日,武田聖夜,２００９年まで　あと、　２１日　武田聖夜（信玄）
１２月１２日,藤井千帆,２００９年　まで...。　あと２０日　２０日後には..。　牛になるぞー！！　たのしみー💕　藤井千帆
１２月１３日,小関裕太,今年残り　１９日　だよ！！！　次元の　誕生日まで、１３日　だよ！　ちなみに、　クリスマスまで　あと１２日だよ！　クリスマスイブ　まで、あと１１日
１２月１４日,笠原拓巳,″２００９年„まで、　あと　１８日
１２月１５日,長谷川あかり,今年のこり...　１７日！！　今年もあと、　１７日しか　ありません　だけど、　最後まで　つっぱしって　いきましょ～！　ドキドキ
１２月１６日,鍋本帆乃香,今年残り　１６日...。　来年も　笑顔で　頑張んで～　幸あれ　ほのか
１２月１７日,丸山瀬南,今年も残り１５日　 来年も宜しく　お願いします　瀬南
１２月１８日,山田樹里亜,2009年まで、　あと、14日
１２月１９日,加藤ジーナ,２００９年まで　残り１３日
１２月２０日,荒木次元,２００９年まで　あと１２日 あと一週間と五日だ！
１２月２１日,島田翼,２００９年まで　あと…１１日！ 　ちなみにクリスマスまであと４日
１２月２２日,メロディーチューバック,２００９年　まであと　１０日！！　メロディーチューバック
１２月２３日,重本ことり,今年ものこり　あと９日 　ことりわ、今年もちょ〰幸せでした♡　ことり
１２月２４日,吉野翔太,２００９年　まで　あと８日！！
１２月２５日,水本凜,２００９年まで...　７日　水本 凜
１２月２６日,田中理来,２００９年まで　あと　６日
１２月２７日,伊藤元太,２００９年 まで あと　五日　です
１２月２８日,渡邉聖斗,２００９年　まで　あと...４日
１２月２９日,中村あやの,今年も、あと３日　でも天てれは　おわらない💕　あやのデシター
１２月３０日,ミッチェルベンジャミン,２００９年まであと　２日　来年はうし！
１２月３１日,木村遼,２００９年まで　あと１日　 明日
