１月１日,加藤ジーナ,A Happy　New Year　良い一年に　なりますように　ジーナ
１月２日,重本ことり,はっぴーにゅぅーいやぁーん　 今年もはじけちゃうぞぉ～♡ 　よろしくね。　ことり
１月３日,荒木次元,世界中のみんなへ　明けまして　おめでとう　御座いMAX！　次元
１月４日,中村あやの,ハッピーニューイヤー 　今年もよろしく　おねがい　します　うめぼし　大好き　お茶とうめぼし　あやの
１月５日,小関裕太,Happy New Year　今年も　よろしく　お願いします。
１月６日,笠原拓巳,ハッピーニューイヤー　鏡もち！　笠原拓巳　人生　笑いが　一番
１月７日,メロディーチューバック,HAPPY 　NEW 　YEAR 　いい年に　なります　よーに！　メロディーチューバック
１月８日,伊藤元太,２００９　あけおめ　ことよろ　今度もよろ　しく～
１月９日,田中理来,新年　あけましておめ　でとうございます。　 今年もよろしくお願いします。
１月１０日,川﨑樹音,A HAPPY　NEW　YEAR 　今年が　皆さんにとって　幸せ♡な　一年に　なりますように✨　樹音より
１月１１日,丸山瀬南,ハッピニューイヤー　今年は面白い事　タイミングよくやります！！　瀬南
１月１２日,島田翼,謹賀　新年　今年も　よろしく　お願い　いたします。　島田翼
１月１３日,藤井千帆,あけまして　おめでとう　ございますっ　今年も天てれ　よろしくね！！　藤井千帆
１月１４日,ミッチェルベンジャミン,A HAPPY　NEW YEAR　今年はうし年！　ベンジャミン
１月１５日,千葉一磨,一磨．　明けまして　おめでとう　ございます！
１月１６日,鍋本帆乃香,ハッピ～　ニューイヤー💕　今年の目標...。　新しい事を身に付ける！！
１月１７日,木村遼,あけまして　おめでとう　ございます！
１月１８日,水本凜,ハッピ～～　ニューイヤー　RiN
１月１９日,吉野翔太,ハッピー　ニューヤー　今年も　ヨロシク
１月２０日,長谷川あかり,はっぴー　にゅーいやぁ！！　あけましておめでトゥー(笑)　今年もやってきまシタ。　共に良い年にしましょう！！　ちなみに今年は牛年です　知ってマスよね～？！笑　それでは、今年ぜひぜひ　よろしくおねげェしやす！！
１月２１日,細田羅夢,Happy New Year　これからも　お互いがんば！　モ～　２００９うし　from羅夢
１月２２日,武田聖夜,Happy New　Year 　☆彡今年の年は☆彡　ってうしじゃない　武田聖夜（信玄）　
１月２３日,山田樹里亜,HAPPY　New　Year　あけまして　おめでとう！　今年も　よろしくね♡　樹里亜
１月２４日,渡邉聖斗,みんなへ　今年は、自分で、できる、　CO₂さくげんを　めざそう　聖斗より
