３月９日,丸山瀬南,運動して☀　体力がついた☆彡　瀬南
３月１０日,ミッチェルベンジャミン,色々な人と　仲良くできる！　ベン
３月１１日,加藤ジーナ,日本語　が　上手になった　 (昔は「ジーナ語」だった)
３月１２日,川﨑樹音,フライドポテト　以外も　食べられるように　なった！！　じゅね．
３月１３日,笠原拓巳,反射神経が　良くなって　きました！　By拓巳
３月１４日,細田羅夢,滑舌が　良くなった　らりるれろ　よかったぁ　らむ姉さん
３月１５日,島田翼,世界中の人に　ダンスを見てもらえる　事！！
３月１６日,田中理来,普段、挑戦　できない事が　できたこと　理来
３月１７日,武田聖夜,２回しかできなかった　うで立てが最大　１０回　できるようになった　聖夜
３月１８日,水本凜,天てれに入って初めて、　みんなと力を　合わせたっ！！笑...。　いまでは、みんなと力を合わせ　まくれますっよっ♪♬　凜
３月１９日,山田樹里亜,みんなと　仲よくなれた💕　みんな　ありがとう！ みんな　大好き～♡　♡樹里亜♡
３月２０日,木村遼,よかった事は、　みんなとすぐ、　仲良くなれる　やったー　やったー　遼
３月２１日,吉野翔太,いろんな人と　出会えた事が　よかったです。　翔太
３月２２日,重本ことり,２３人のステキな♡　人間に出会えたコトだ　みんな　大スキ💕　Cotori　天才てれびくん
３月２３日,渡邉聖斗,たくさんの　ハプニング　に出会えたこと　聖斗
３月２４日,中村あやの,いろんな、所に行け　たこと♡とってもきれい　な所や、いろ×2と、　ワクワクしました　あやの　
３月２５日,メロディーチューバック,てれび戦士の　みんなからの　パワーをもらって　元気になったコト♡　メロディーチューバック
３月２６日,千葉一磨,一磨！！　多彩な芸　を身につけた． (手品、テーブルクロス引き等)
