４月８日,矢部昌暉,元気いっぱい　がんばります！　昌暉
４月９日,寺田朱里エステル,ウォーキングを　マスターしてもっと　モデルっぽくなりたい　あかりエステル
４月１０日,岡田結実,目を開けて　ねるくせ　をなおす。　結実
４月１１日,木島杏奈,漢字と英語の　テストで、100点をとる！　しかも、みんなのあ　こがれる、元気でおもしろい　戦士になるゾ！　杏奈
４月１２日,椋木ホセマルティン,今年の目ひょう！　テレビで、いっぱい、　しゃべりたい。　ホセ
４月１３日,野村翔,いっぱいお寿司　を食べる。　野村翔
４月１４日,金子凜太朗,バク宙　を今年中に出来る　ようにする　凜太朗
４月１５日,白坂奈々,今年の目標！！！　スズと2人で、　MTKを歌うこと！！　なな
４月１６日,斎藤安里奈ダイアナ,歌とダンスを　上手にする　ダイアナ
４月１７日,伊藤元太,ジャグリングボール　5個で　カスケード　できるようになりたい！！　元太
４月１８日,當山優奈,✨りん✨より身長を　（3cmひくい）　高く⤴⤴する💕　優奈💕
４月１９日,三井理陽,今年の目標〈理陽〉　ダンスをうまく、　おどれるように　ぜったいなる。
４月２０日,中村嘉惟人,今年の目標　リフティング　100回　嘉惟人
４月２１日,水本凜,今年の目標☆　英語のテストで　学年ナンバー1位を　目指します！＾＾　水本凜
４月２２日,小川向陽,今年の目標　雑学のうでを　あげる↑↑↑↑↑　向陽
４月２３日,松岡美羽,歌をうまく　する！！ みう
４月２４日,上原陸,今年の目標　苦手な牛乳を　たくさん飲む。　★上原陸★
４月２５日,風戸蘭七,今年の目標♡　☆蘭七☆　自分のことをみんなに　知ってもらい、たくさん　のことにチャレンジして　かつやくしたいです！♪
４月２６日,浅野優惟,今年の目標は、　日本の山・川・特産物　などの日本の色々を　知る事です。　浅野優惟
４月２７日,鎮西寿々歌,うちの今年の目標は、　奈々と2人でＭＴＫ　を歌う事です！！！！　🎀寿々歌🎀
４月２８日,田代ひかり,今年の目標　元気で、明るく、　自信をもって、何事にも　チャレンジする事です。　！！　田代ひかり
４月２９日,齊藤稜駿,ダンス　をガンバル！！　稜駿
４月３０日,長江崚行,150cm以上　になる！！　崚行
５月１日,脇菜々香,今年の目標　男らしさ　を磨く✨　菜々香
