６月４日,寺田朱里エステル,家で～飼ってみたいー動物～　かわいい　くまん！　ぢゃなくてー
６月５日,長江崚行,家で飼ってみたい動物は？　ななみ　ちゃん
６月６日,野村翔,家で飼ってみたい動物は？　ライオン　翔
６月７日,鎮西寿々歌,ティー　カップ　プードル　すずか♡
６月８日,上原陸,家で飼ってみたい動物は？　キリン　上原陸
６月９日,岡田結実,そうぞうの天使☆
６月１０日,脇菜々香,家で飼ってみたい動物は？　結実　ゆいLOVE♡　菜々香
６月１１日,浅野優惟,家で飼ってみたい動物　人間の顔をした　ゴリラ
６月１２日,三井理陽,家で飼ってみたい動物　どーもくん
６月１３日,椋木ホセマルティン,かってみたい動物は・・・　ヘビ　ホセ
６月１４日,木島杏奈,飼ってみたい動物は、　トラの　赤ちゃんです☆ミ　by.杏奈
６月１５日,中村嘉惟人,飼ってみたい動物　カメ（はやい）　で～す！
６月１６日,松岡美羽,飼ってみたい動物は...　♥アルパカ♥　みう
６月１７日,伊藤元太,ウサギ　かわいい～💕　元太
６月１８日,小川向陽,天馬（ペガサス）ですよね…
６月１９日,水本凜,飼ってみたい動物は・・・　きりん　です♡　凜はキリンを　愛してます
６月２０日,金子凜太朗,やっぱりタカですよね…
６月２１日,齊藤稜駿,「ぞう」　りょうま
