１１月２日,田代ひかり,直したい自分の　クセ　やぎみたいに口をもぐもぐ　しちゃうクセ！！
１１月３日,當山優奈,直したい自分のクセ…。　直したいのは…。　ゆび鳴らし　しちゃうこと💧💧　ゆび太くなる　らしいから　やめたいデス。。。
１１月４日,脇菜々香,直したい自分のクセ！　無意識に鳥肌を立たせる　大阪では鳥肌を＂さぶいぼ＂って言うんだよ～♪　菜々香
１１月５日,浅野優惟,くちびるを　かんでしまうくセ
１１月６日,寺田朱里エステル,直したい自分のクセ…　本を読んでいると…　ねてしまうクセです！！　寺田あかり
１１月７日,木島杏奈,直したい自分のクセ　口をタコの口に　しちゃう💦　〝あんなより〟
１１月８日,水本凜,直したいクセは…？！　人の＂クツ＂の＂ニオイ＂　をかくごと！！　くんくんかぎます!!　Rin
１１月９日,斎藤安里奈ダイアナ,直したい私のクセ😊　音楽を聞いていると、　どこでも　おどってしまう！♪　ダイアナ
１１月１０日,中村嘉惟人,ぼくの直したいクセ　舌で口びるを　なめちゃう事。
１１月１１日,白坂奈々,直したい私のクセ♡　ねる時、ふとんを　かけない…。　知らないうちに、けっているんです💦　なな
１１月１２日,矢部昌暉,直したい僕のクセ…！　鼻を左右に動かす。
１１月１３日,鎮西寿々歌,直したいうちの〝クセ〟！！　寝る時に、弟の　耳たぶをさわる。　今だに…。直っていません💦ｗｗ　スズカ💛
１１月１４日,小川向陽,直したいクセ　ねこぜと話の長さ･･･
１１月１５日,齊藤稜駿,直したい自分のクセは…。　知らない漢字を　適当に読むこと
１１月１６日,風戸蘭七,直したい自分のクセ　口笛と歯笛　を吹くコト　らな
１１月１７日,岡田結実,直したい自分のクセ！！　鼻をかいちゃう~_~
１１月１８日,上原陸,直したい自分のクセは　考えてる時に　歯をいじる事。　上原陸
１１月１９日,長江崚行,直したいクセは…　1人言
１１月２０日,松岡美羽,直したい自分のクセ　人と目が合うと　笑っちゃう…。　みう
１１月２１日,三井理陽,なおしたい自分のクセ　すぐに　一目惚れ　する所。　三井理陽
１１月２２日,野村翔,直したい自分のクセ　自分の事をオラと言って　しまう事です！！
１１月２３日,椋木ホセマルティン,直したい自分のクセ　勉強を集中してできない事
