３月１日,椋木ホセマルティン,1年間のマイベストニュース　ずっと出たかった天ドラに出られた！　まさにきせき！
３月２日,岡田結実,1年間のマイベストニュース　天てれのかおあわせの　時ななちゃんに　やさしくしてもらった　ななちゃんやさしい～♡　ゆい
３月３日,小川向陽,1年間のマイベストニュース！！　北海道と　沖縄にいった
３月４日,浅野優惟,1年間のマイベストニュース　小田急線の青いロマンスカーの　運転席に入り、補助警報を　鳴らしたこと．
３月５日,金子凜太朗,１年間のマイベストニュース　線路の上を自転車　でわたり、　電車の馬力を体感　できたことです。
３月６日,斎藤安里奈ダイアナ,1年間のマイベストニュース　〝トランポリン〟　が、出来るようになりました。　DIANA
３月７日,田代ひかり,1年間のマイベス　☆ニュース☆　妖精の事を好きに　なった事でーす😝　ひかり
３月８日,白坂奈々,1年間の♦マイベスト♦NEWS！　イカさばきを、　初めてやった♥　♦なな♦
３月９日,中村嘉惟人,1年のマイベストニュース　チアの大会で　ベストインプレッション賞をとれた　事！　かいと
３月１０日,長江崚行,1年間のマイベストニュース！！　自分の身長が、　15cm伸びた事！！
３月１１日,寺田朱里エステル,1年間のマイベストnews!!　チア部でロンダートを　しながら変顔を　出来るようになりました！！　akari
３月１２日,鎮西寿々歌,1年間のマイベストニュース　今年、生まれて初めて。。海外へ行ったぁぁ☆　SUZUKA
３月１３日,矢部昌暉,1年間のマイベストニュース　ねんがんのNHKホールに　たてたぁ～!!
３月１４日,三井理陽,1年間のマイベストニュース　ライフセービング部で　天てれの大先輩に　会った。　by Ryō
３月１５日,野村翔,1年間のマイベストニュース！！　天ドラ8分劇場で色々な　役やってみんなに僕の　演技力をみせつけられた　こと！！　僕の演技はピカ1だ～　野村翔
３月１６日,伊藤元太,1年のマイベストニュース～　缶コーヒーを　飲めるようになった！！　coffee
３月１７日,松岡美羽,1年間のMYベストニュース　豪語で、3冠王に　なったこと✨　🎀ミウ🎀
３月１８日,木島杏奈,1年間のマイベスト　ニュース　筋肉が　〝ムッキムキ〟になった。
３月１９日,風戸蘭七,1年間のマイベストニュース　天ドラ＆8分劇場 合わせて　5本中4本に出ることが　できたこと！！　♡うれしすぎるー！！！♡　夢だったんです☆　らな
３月２０日,水本凜,1年間の　マイベストニュース　夏イベでヒロイン　をやった！　Rin
３月２１日,上原陸,1年間のマイ・ベストニュース　声が低くなった！！　男らしくなったぜ！！
３月２２日,齊藤稜駿,マイベストニュース　初めて　笑いがとれた！
３月２３日,當山優奈,1年間のマイベストニュース！！　生まれて初めて　顔を真っ赤にぬりました。。。　當山ゆうな
３月２４日,脇菜々香,1年間のマイベストニュース♥♥　人生初！！　ショートカット　菜々香
