かさぽんたす,徳島県,渦潮パルス,2014年3月31日,金長たぬき希望の滝,逢坂力,徳島市 上空,阿波尾鶏の焼き鳥
とちぼるた,栃木県,サンデー・ライト・サンダー,2014年4月7日,大谷石採掘場跡,柚木涼香,日光市 日光東照宮 上空,日光東照宮の三猿
ちゃっちゃくちゃら,福岡県,しめ縄アタック,2014年4月14日,福岡ドーム,阿澄佳奈,,
きんしゃか,奈良県,桜のヒカリ,2014年5月5日,奈良公園の若草山,池田昌子,平城宮跡 上空,奈良漬け
こめくるりん,新潟県,おせんべ手裏剣,2014年5月12日,佐渡金山,杉山佳寿子,,
しーびー282,千葉県,ピーナッツジェット,2014年5月19日,成田国際空港,樫井笙人,,
ぷうか,広島県,それいけバブル,2014年6月2日,旧広島市民球場跡,新谷真弓,,
けにまぬがあ,石川県,手まりポヨヨ～ン,2014年6月9日,輪島市の千枚田,水谷優子,,
かざまのおど,青森県,おどの風車,2014年6月30日,岩木山,高岡瓶々,三内丸山遺跡上空,板状土偶
てげてげ,宮崎県,カットバックてげターン,2014年7月7日,青島,咲野俊介,,
ぎゅたあく,静岡県,絵具ショックアタック,2014年7月14日,駿河湾,LITTLE,伊東市にあるお茶畑 上空,静岡茶
はまじゅん,大阪府,なにわクロー,2014年9月1日,あべのハルカス,植田佳奈,道頓堀の戎橋 上空,ずっこけリアクション
るる,北海道,バッカルコーンアタック,2014年9月8日,オホーツク流氷センターのクリオネの水槽,上坂すみれ,小樽市 上空,3色海鮮丼
うめたろう,高知県,とさかつおファイヤー,2014年9月15日,地球の33番地,ビーグル38能勢,,
はくばまる,長野県,アイス・スプラッシュ,2014年10月13日,北アルプス,伊東健人,,
だんきち,埼玉県,イモ☆レボリューション,2014年10月20日,高橋農園のさつまいも畑,BIKKE,川口市上空,勾玉
ずぶろん,島根県,おろちのひだま,2014年10月27日,宍道湖,三宅健太,,
にんまる,三重県,パールフラッシュ,2014年11月10日,赤目四十八滝,浅野真澄,赤目四十八滝 上空,松阪牛
あかのやま,東京都,連続ガッツッパリ,2014年11月24日,両国国技館,藤原啓治,富岡八幡宮 上空,富岡八幡宮
もものうち,東京都,ハートビートフラッシュ,2014年12月8日,中野サンプラザ屋上,大水洋介,田園調布 上空,オムライス
きのちよ,東京都,大江戸頭突き,2014年12月15日,雷門の提灯,杉山紀彰,,
ぷにょら,神奈川県,ぷるぷる弾,2015年1月19日,江ノ島,野中藍,,
