はにまじん,群馬県,ジョーモースパイラル,2015年4月6日,八幡塚古墳,小倉唯,草津温泉 上空,草津温泉
ぴぱざえもん,長崎県,スプラッシュ・ハニー,2015年4月13日,グラバー園,松尾伴内,,
こまちまちこ,秋田県,花火でどん！,2015年5月4日,乳頭温泉,竹達彩奈,,
かげむしゃむしゃ,山梨県,風林火山之ビーム,2015年5月11日,,福山潤,,
よしばっば,滋賀県,ソロバンバーン,2015年5月18日,竹生島,露の都,,
くろはやとん,鹿児島県,くろトンブレラー,2015年6月1日,,はしのえみ,,
ふくぺらぶう,山口県,プロペラペラー,2015年6月9日,巌流島,梶裕貴,,
ふぃろそふぃあ,愛知県,ローズ・ドリフト,2015年6月15日,名古屋城,長縄まりあ,名古屋市のテレビ塔 上空,テレビ塔
みやこん,京都府,大文字ファイヤー,2015年7月7日,嵐山,安田美沙子,,
ぱんがやしゃーん,沖縄県,オオゴマダラフラッシュ,2015年9月9日,川平湾,真栄田賢(スリムクラブ),,
ちるとてーく,沖縄県,琉球トロピカー,2015年9月14日,南城市,山田親太朗,,
ほやのん,福井県,ハスッパ・スプラッシュ,2015年9月28日,かつやま恐竜の森,安済知佳,,
おくとぱすみれ,兵庫県,たこすみレーザー,2015年10月12日,宝塚市,はいだしょうこ,,
みぽんひめ,愛媛県,はいくでざぶーん,2015年10月19日,,水樹奈々,,
かっぱろけ,茨城県,ネバネーバ・ショット,2015年10月27日,牛久沼,飛田展男,,
どもっこす,熊本県,怒顔面,2015年11月9日,熊本城の側,田尻浩章,熊本市 上空,水前寺清子さんの「三百六十五歩のマーチ」
ももふぇ,岡山県,ピーチ・ストリーム,2015年12月7日,倉敷市の美観地区,金元寿子,,
もさく,和歌山県,へいへいまるターン,2016年1月11日,,瀧田直樹,和歌山城 上空,ごま豆腐
うぎろう,岐阜県,カミオカンデ・アタック,2016年1月18日,,平野綾,,
ぎやみ,宮城県,シャークフィンカッター,2016年2月1日,,島﨑信長,仙台城にある伊達政宗像 上空,伊達政宗像
さすらかすら,福島県,うまっこディストーション,2016年2月8日,猪苗代湖,渡辺俊美,いわき市 三崎公園 上空,あかべこ
わんこねるら,岩手県,おわんアタック,2016年2月15日,,浅沼晋太郎,雫石町 上空,金のわんこ
