にくそん,肉,2017年4月3日,平田広明
きふじんぬ,木,2017年4月10日,釘宮理恵
てつまる,鉄,2017年4月17日,江口拓也
せんこ,鮮,2017年4月24日,BŌMI
まめたん,豆,2017年5月8日,遠藤綾
すめりー,臭,2017年5月15日,伊瀬茉莉也
あるくめです,歩,2017年5月22日,西脇保
えにぼう,縁,2017年6月5日,大谷育江
とれじゃーの,宝,2017年6月21日,井上喜久子
ふてくさーる,腐,2017年4月4日,宮田幸季
もゆる,火,2017年6月26日,國立幸
れいか,氷,2017年6月26日,かないみか
すべるーかす,滑,2017年7月3日,パトリック・ハーラン
かたまじろ,固,2017年9月4日,野島健児
みずえ,水,2017年9月11日,富沢美智恵
れっどれお,赤,2017年10月2日,小原雅人
ぶるーく,青,2017年10月9日,関俊彦
ぐりんきゅあら,緑,2017年10月16日,山崎和佳奈
ほわないと,白,2017年10月23日,下和田ヒロキ
しろのじょう,城,2017年10月23日,うえだゆうじ
ふでじい,筆,2017年11月6日,糸博
かめんれおん,面,2017年11月14日,楠大典
たまみ,玉,2017年11月20日,清水愛
ぱかぽん,馬,2017年12月4日,くまいもとこ
ふだざえもん,札,2018年1月9日,竹内順子
ときお,時,2018年1月15日,井上麻里奈
まえた,前,2018年1月29日,神代知衣
きのこのこ,残,2018年2月5日,飯田里穂
あかりん,明,2018年2月19日,小桜エツ子
なまえんじぇる,名,2018年1月10日,悠木碧
