1,ハロー&#44;てれび戦士,20年4月6日,
2,ふしぎな力&#44;デンリキ,20年4月7日,
3,あどミン探しと&#44;ヘンな男,20年4月8日,
4,デンリキの&#44;使いみち,20年4月13日,
5,ボクと妹&#44;ヒャックリカエル！？,20年4月14日,
6,あどミンの&#44;食べもの,20年4月15日,
7,ピンク&#44;にしちゃえ↑,20年4月20日,熊木翔
8,ピンク&#44;はやめよう↓,20年4月21日,熊木翔
9,ピンク&#44;の空♥,20年4月22日,
10,ダンスは&#44;もうやめた,20年5月25日,饗場詩野
11,みんな&#44;思いどおり,20年5月26日,
12,ボクが&#44;やりたいこと,20年5月27日,饗場詩野
13,時をめくる&#44;レイ,20年6月1日,
14,めくりすぎた&#44;ミライ,20年6月2日,斎藤アリーナ&#44;メロディーチューバック&#44;千葉 一磨
15,めくるめく&#44;イマ,20年6月3日,千葉 一磨
16,アレハ&#44;ナンダ！？エピソードA,20年6月8日,
17,アレハ&#44;ナンダ！？エピソードB,20年6月9日,
18,アレハ&#44;ナンダ！？エピソードC,20年6月10日,
19,ノロマと&#44;よばないで,20年7月6日,岩井七世,
20,スピード&#44;出しすぎ注意,20年7月7日,岩井七世,
21,デンリキvs世界最速&#44;,20年7月8日,岩井七世,
22,オレは&#44;モテたい,20年7月13日,
23,モテ期&#44;来た！,20年7月14日,
24,不器用&#44;だけど,20年7月15日,
25,ソノマ&#44;あらわる,20年8月31日,
26,プラネタリウム&#44;すれちがい,20年9月1日,
27,デンリキ&#44;使ったのはだれ？,20年9月2日,
28,ソノマを&#44;おいかけろ,20年9月7日,
29,ソノマの&#44;しるし,20年9月8日,
30,ソノマの&#44;やりかた,20年9月9日,
31,心の中を&#44;のぞいてみたら,20年9月14日,
32,気になる&#44;あの子,20年9月15日,
33,恋の&#44;キューピット作戦,20年9月16日
34,名探偵&#44;リオン,20年9月21日,田中理来,
35,リオン&#44;推理する,20年9月22日,田中理来,
36,そして&#44;だれもいなくなった,20年9月23日,田中理来,
37,ニンジャ&#44;ナンジャ,20年9月28日,
38,ナンダカンダ&#44;ニンジャ,20年9月29日,
39,バイバイ&#44;ダブル,20年9月30日,
40,笑う門には&#44;デンリキきたる,20年10月5日,
41,お笑いデンリキ&#44;スター誕生,20年10月6日,
42,もう一度&#44;笑わせたい,20年10月7日,飯島緋梨,
43,スラスラ&#44;楽勝？,20年10月12日,
44,うそつき&#44;ゲンタ？,20年10月13日,
45,ゲンタの絵は&#44; ホンモノ？,20年10月14日,
46,ドラムと&#44;バケツ,20年10月19日,
47,バッケを&#44;さがせ！,20年10月20日,篠原麻里,
48,ワガママ&#44;言っちゃえ,20年10月21日,篠原麻里,
49,ダンス&#44;オブ&#44;スカイ,20年10月26日,前田公輝,
50,助っ人は&#44;どこに？,20年10月27日,前田公輝,
51,決戦は&#44;水曜日,20年10月28日,前田公輝,
52,ソノマの&#44;たくらみ,20年11月9日,前田公輝,
53,ふたつの&#44;デンリキ,20年11月10日,,
54,ソノマ&#44;てれび戦士,20年11月11日,
55,しゃべってよ&#44;カメ,20年11月16日,饗場詩野,
56,マウナとカメの&#44;ちいさな旅,20年11月17日,饗場詩野,
57,生命の泉へ&#44;風にのって,20年11月18日,
58,なんで&#44;でんりき&#44;きゅうち,20年11月23日,
59,ちこく&#44;くるしみ&#44;みっしつ,20年11月24日,
60,つながり&#44;りもーと&#44;ともだち,20年11月25日,
61,本が&#44;だいすき,20年12月7日,髙橋郁哉
62,ベニオ&#44;本の中,20年12月8日,
63,めざせ&#44;めでたし×2,20年12月9日,
64,なぞの&#44;ハカイシャ,20年12月14日,千葉一磨,
65,てれび戦士&#44;漂流記,20年12月15日,
66,ハカイシャ&#44;ハカイ作戦,20年12月16日,千葉一磨
67,尊敬&#44;されたい,21年1月4日,
68,アドミン&#44;コワセ,21年1月5日,
69,みんなを&#44;守る,21年1月6日,
70,名探偵リオン&#44;ふたたび,21年1月11日,
71,暗号を&#44;とけ！,21年1月12日,
72,ホントの&#44;犯人,21年1月13日,
73,ユラと&#44;たいやき,21年1月25日,
74,かみかざりの&#44;思い出,21年1月26日,
75,親友に&#44;会わせたい,21年1月27日,
76,父からの&#44;おくりもの,21年2月1日,
77,安全アプリ&#44;起動！,21年2月2日,
78,めざせ&#44;安全ブレーカー,21年2月3日,
79,よみがえる&#44;電空,21年2月15日,
80,夢の楽園&#44;電空,21年2月16日,
81,ハカイシャの&#44;正体,21年2月17日,
82,ハカイ&#44;ハカセの記憶,21年2月22日,
83,リバース・コンバーターは&#44;どこ？,21年2月23日,
84,それぞれの思い&#44;決戦へ,21年2月24日,
85,最後まで&#44;ハローハロー,21年3月15日,																							
