1,2015/3/30,押し寄せる家族の念を食卓のナイフとフォークで切り刻みゆく,佐東みどり,
2,4/6,憧れの山田先輩念写して微笑む春の玲子無垢なり,木滝りま,
3,4/13,縁側でUFOを呼ぶ妹の呪文が響くわが家の夜に,木滝りま,高橋修 西海健二郎 佐藤伸之 堀田勝 加藤裕
4,4/27,ケイタイの電波にのってやってくる魔性の女のしゃがれた声よ,佐東みどり,
5,5/4,キャンプファイヤーハートの形に燃え上がり恋愛成就を確信したり,木滝りま,
6,5/11,展覧会に展示されたる兄の絵を絶賛しているサングラスの父,佐東みどり,
7,5/18,注射針曲がりてとまどう医者を見る念力少女の笑顔まぶしく,木滝りま,橋本智哉
8,6/1,カーテンを閉ざせば消える夕闇と生まれる暗闇泣いてる少女,木滝りま,
9,6/8,少年時友とつくりし秘密基地ふと訪ぬれば友が住みおり,木滝りま,平岡拓真
10,6/15,妹の日記を盗み読む父のうしろに立ちたる阿修羅が見える,木滝りま,
11,6/29,鷹の爪首に飾りて都会（まち）へ出ても何も起こらぬ兄の青春,佐東みどり,高田里穂
12,7/6,腕時計逆さに回る昼下がり祖父がヤングに変わる幻,佐東みどり,斉藤秀翼 高田里穂 小貫加恵
13,7/13,校門のカメラ小僧を罵倒してレイコの朝がはじまらんとす,佐東みどり,ふせえり 原田一輝
14,8/31,校庭のどこかで冷える10円玉 むらさき色に暮れる学園,佐東みどり,ふせえり 原田一輝
15,9/7,ケイタイがつながらぬ夜はいつのまにプラス思考の本読んでいる,木滝りま,金剛地武志
16,9/14,夏の夜に天の浮舟飛びゆけり家族みんなのサヨナラの念,木滝りま,ふせえり 原田一輝
