1,新たなる旅立ち,亀田万寿夫,2006年4月3日 4月4日 4月5日,
2,惑星アイアンフォレスト,金杉弘子,4月17日 4月18日 4月19日,鉄（演：吉田メタル）<br>サブ（演：魚谷輝明）<br>トレア（演：安藤希）
3,惑星マッカナーXXX,亀田万寿夫,5月8日 5月9日 5月10日,支配人スズキ（演：鈴木清信）<br>ボーイ・サカグチ（演：坂口候一）
4,惑星ワガマーマ,金杉弘子,5月22日 5月23日 5月24日,ちなみ姫（演：石坂ちなみ）<br>ジイヤ（演：陽季想）<br>ハッスル忍者・タジリ（演：TAJIRI）<br>リウ（演：リウ）<br>ジュンロウ（演：淳朗）<br>キシ（演：岸哲生）
5,ナゾの訪問者,亀田万寿夫,6月12日 6月13日 6月14日,093（オクサン）（演：島田珠代<br>256（ジゴロー）（演：KIBA）
6,惑星ウリハッド,金杉弘子,6月26日 6月27日 6月28日,シロサワ（演：ゴリけん）<br>零（演：松田一輝）<br>空牙（演：アジアン・クーガー）<br>黒猫（演：アジアン・キャット）
7,惑星デスナンデッス,森,9月4日 9月5日 9月6日,ミガニシ（演：スマイリーキクチ）
8,隠された腕輪の意味,亀田万寿夫,9月18日 9月19日 9月20日,三六九（みろく）（演：後藤理沙）
9,さらわれたびびん★,金杉弘子,10月10日 10月11日,サブ（演：魚谷輝明）<br>ダーヨ（声：西村朋紘）
10,惑星ホラナプトラ,森,10月23日 10月24日 10月25日,ホラナプトラ博物館・支配人（演：犬神ジン）<br>ホラナプトラ博物館・館長（演：犬神凶子）<br>メカマミー（演：メカマミー）<br>鉄（演：吉田メタル）<br>サブ（演：魚谷輝明）<br>トレア（演：安藤希）<br>ダーヨ（声：西村朋紘）
11,びびん★救出大作戦！,亀田万寿夫,11月13日 11月14日 11月15日,4×9（シック）（演：粟根まこと）<br>8×9（ハック）（演：礒野慎吾）
12,秘密基地潜入大作戦,金杉弘子,11月27日 11月28日 11月29日,929（クニク）（演：伊藤陽佑）<br>39（サク）（演：フクスケ）<br>宇宙戦隊NOIZ（演：宇宙戦隊NOIZ）<br>1×8（イチカバチカ）（演：岡西里奈）
13,さよならユゲデール,森,2007年1月8日 1月9日 1月10日,
14,悪の総帥∞(ムゲン)現る！,亀田万寿夫,1月22日 1月23日 1月24日,∞（ムゲン）（声：千葉繁）<br>929（クニク）（演：伊藤陽佑）<br>スーパー来々軒・タケシ（演：YURAサマ）<br>スペースアイドル（演：華凛）<br>スペースアイドルファン（演：団長）<br>惑星オトナーリ王子（演：淳朗）
15,蒸気石 危うし！,金杉弘子,2月12日 2月13日 2月14日,∞（ムゲン）（声：千葉繁）<br>929（クニク）（演：伊藤陽佑）<br>1×8（イチカバチカ）（演：岡西里奈）<br>三六九（ミロク）（演：後藤理沙）
16,最終章〜宇宙に未来の願いを〜,,2月26日 2月27日 2月28日,∞（ムゲン）（声：千葉繁）<br>360（サリノ）（演：さりの）<br>37（サナ）（演：SANA）<br>8×10（ハート）（演：准）<br>6481（リョウヘイ）（演：涼平）<br>3×9（ミク）（演：みく）<br>0:5:10（マコト）（演：マコト）<br>零（演：松田一輝）
エピローグ,ダンゼン！未来,,2月28日,
