アルパカ,椋木マルティン,【名前】シュシュ (オス ９ヶ月) <br>【お手入れ】専用のブラシで毛のお手入れを毎日。<br>【えさ】１回に干し草500g ペットフード100g 1日朝夕2回<br>【費用】1頭約150万円。えさ代は1頭につき1月約10万円。<br>【寿命】15～18年。,４月２６日
ミニブタ,岡田結実,【名前】風太郎 オス 5才<br>【エサ】キャベツ 白菜 もやし 大根 リンゴ<br>【散歩】毎日する。<br>【費用】1頭15万円。エサ代1月1万円。<br>【寿命】10～15年,５月３日
鷹,ファデン咲美亜,【名前】桃太郎 オス ５才 (モモアカノスリ) <br>【散歩】手に厚手のグローブを付け、乗せて散歩をする。<br>【エサ】ヒヨコ うずらなど<br>【費用】モモアカノスリ1羽約30万円。えさ代は1万円（1羽 1か月）。 <br>【寿命】20～25年,５月３１日
ワニ,寺田朱里,【名前】カイマン オス ２８才 体長２０３cm 体重４４kg (メガネカイマン)<br>【管理】特定動物なので保健所の許可が必要（5年ごとに更新）<br>【おでかけ】脇の下にリードをつける・30分くらいは日光浴。<br>【えさ】鶏肉か淡水魚・1週間にコイ4～5匹程度でよい。<br>【お手入れ】月に一回洗うこと。洗車ブラシと歯ブラシを使う。<br>【費用】メガネカイマン1匹約4万円。えさ代6000円(1匹1か月)。<br>【寿命】30～50年,６月７日
フクロモモンガ,鎮西寿々歌,【名前】アース オス ３ヶ月 体長１５cm<br>【エサ】果物は全て1センチ角に切る。 ・冷凍コオロギは脚と羽根を除去して与える。<br>【運動】週二回日光に当てる。逃げないように蚊帳の中で。<br>【費用】1匹約2万5千円～4万円。えさ代5千円(1匹1か月) <br>【寿命】約10年,７月５日
ゾウ,島田太一,【名前】ランディー メス ２５才 体重３.４トン (アジアゾウ) <br>【エサ】一日干し草50キロ、野菜果物25キロを3回に分けて与える<br>【トイレ】1回に10キロ、1日100キロのフンをする。あまり臭くない。<br>【散歩】1日10キロ歩くので散歩は必要 <br>【費用】1頭30万～90万円。えさ代35万円(1頭1ヶ月) 。<br>【寿命】70年,７月１２日
ペンギン,勝隆一,【名前】こなつ １才 体長４２ｃm 体重４.２ｋｇ (フンボルトペンギン) <br>【入手法】絶滅危惧種なので海外からは無理。（ごく稀に国内での売り出しあり。）<br>【えさ】アジを1日2回20匹ずつ。背びれは落とすこと。<br>【散歩】こまめに。手拍子で歩くリズムをとる。<br>【費用】1羽80万円 。えさ代：約3万円（1羽1ヶ月）。<br>【寿命】20年,９月６日
ミニヤギ,延命杏咲実,【名前】バッキー オス ４才 体重５ｋｇ<br>【習性】近くにいるものを追いかける・さびしがり屋 <br>【えさ】干し草1日1kgを5回に分けて与える<br>【おでかけ】ペット用カートに乗せるとフンをしても安心<br>【費用】値段3～9万円。えさ代2000円(1ヶ月)。<br>【寿命】15年,９月１３日
ゾウガメ,寺田朱里,【名前】かめ メス２２才 甲長８０ｃｍ 体重７０ｋｇ (アルダブラゾウガメ) <br>【えさ】数種の野菜や果物を用意。一口サイズに切る。1日1回。<br>【活動時間】早朝から昼過ぎまで<br>【費用】値段80万円。えさ代1万円(1ヶ月)。<br>【寿命】100～150年,１０月１１日
リスザル,岡田結実,【名前】こすけ オス ３才 体重８００ｇ 体長７０ｃｍ (コモンリスザル) <br>【ふれあい】臆病で警戒心が強いが好奇心が旺盛なので、おもちゃで関心を引く。<br>【えさ】7品目以上の野菜・果物を用意。水分の多いものはひかえめに。<br>【費用】値段50万円。えさ代3千円(1ヶ月)。<br>【寿命】15年,１０月１８日
アヒル,木島杏奈,【名前】ちゃい オス ２才 (コールダック) <br>【えさ】野菜を中心に、食材は細かく切る。１日２回 <br>【散歩】むやみに野鳥に近づけない(病気のやりとりを防ぐため) <br>【費用】値段8～20万円。えさ代8000円（1ヶ月）。<br>【寿命】10～15年,１１月１５日
ロバ,ファデン咲美亜,【名前】銀次 オス１１才<br>【えさ】干し草ににんじん、麦を加える。1日3回。<br>【費用】値段6～50万円。えさ代8000円(1ヶ月)。<br>【寿命】30～40年,１１月２２日
ミーアキャット,椋木マルティン,【名前】ティモン オス ４才<br>【えさ】鶏肉(火を通す) 野菜 果物を細かく切る。ドッグフード。<br>【寒さ対策】室温は27度。<br>【費用】値段20～30万円。えさ代4000円(1ヶ月)。<br>【寿命】7～14年,１２月１３日
カピバラ,矢部昌暉,【名前】メイプル メス ６ヶ月<br>【歯】・鼠の仲間なので前歯を削る必要あり。竹(もしくは堅い木)が有効。<br>【えさ】・キャベツ にんじん かぼちゃを大きく切る。<br>【お風呂】・水生動物なので温かいお風呂も好き。<br>【費用】値段30～50万円。えさ代3万円(1ヶ月)。<br>【寿命】7～10年,１月１０日
エミュー,椋木マルティン,【名前】ミュー メス ７才<br>【ふれあい】おやつにハボタン。毛並みにそってなでると喜ぶ。<br>【えさ】朝夕2回。鶏用飼料、米ぬか、おから、白菜、カキの殻<br>【費用】値段約3～30万円。えさ代1500円(1ヶ月)。<br>【寿命】約20年,２月７日
カワウソ,木島杏奈,【名前】アンコ メス ２才 (コツメカワウソ) <br>【あそび】人懐っこく、アゴ乗せもしてくれる。 遊び始めたらカワウソが満足するまで一緒に遊ぶ。<br>【えさ】フェレット用フード大さじ3杯を1日に4回与える<br>【水浴び】1日1回。プールは収納ボックス程度の大きさでよい。<br>【費用】値段80万円。えさ代2500円(1ヶ月)。<br>【寿命】約10年,２月１４日
