島根県出雲市,神社関連,脇菜々香、長江崚行,2010年 4月5日
島根県奥出雲町,「金・鉄」,伊藤元太、當山優奈,2010年 4月12日
三重県尾浜町,方角関連,齊藤稜駿、松岡美羽,2010年 4月19日
大阪府岸和田市,職業関連,水本凜、金子凜太朗,2010年 5月3日
京都県長岡京市,道関連,矢部昌暉、斎藤安里奈ダイアナ,2010年 5月10日
兵庫県明石市,海関連,白坂奈々、小川向陽,2010年 5月17日
広島県江田島市,「河内」,鎮西寿々歌、寺田朱里エステル,2010年 5月24日
兵庫県赤穂市,塩関連,木島杏奈、風戸蘭七,2010年 6月7日
岩手県軽米町,「舘」,野村翔、三井理陽,2010年 6月14日
青森県八戸市,「戸」,田代ひかり、上原陸,2010年 6月21日
富山県射水市,珍名,岡田結実、椋木ホセマルティン,2010年 6月28日
岐阜県高山市,「洞」,伊藤元太、浅野優惟,2010年 9月6日
三重県伊勢市,「世古」,中村嘉惟人、木島杏奈,2010年 9月13日
福島県桧枝岐村,「星」,小川向陽、白坂奈々,2010年 10月4日
新潟県長岡市,米関連,鎮西寿々歌、野村翔,2010年 10月11日
長野県飯田市,「沢」,長江崚行、金子凜太朗,2010年 10月18日
長崎県佐世保市,「浦」,風戸蘭七、矢部昌暉,2010年 10月25日
佐賀県佐賀市,「丸」,水本凜、三井理陽,2010年 11月8日
山梨県甲府市,武田信玄関連,齊藤稜駿、當山優奈,2010年 11月15日
徳島県徳島市,「青・藍」,脇菜々香、椋木ホセマルティン,2010年 11月22日
石川県輪島市,「谷内」,岡田結実、浅野優惟,2010年11月29日
鹿児島県鹿児島市,縁起の良い,田代ひかり、上原陸,2011年 1月4日
鹿児島県曽於市,「別府」,松岡美羽、金子凜太朗,2011年 1月11日
沖縄県八重山諸島,島名と同じ,小川向陽  川ちゃん、齋藤安里奈ダイアナ  ゴリ,2011年 1月18日
秋田県秋田市,「屋」,木島杏奈、長江崚行,2011年 2月8日
台湾台北市,「陳」,鎮西寿々歌  川ちゃん、椋木ホセマルティン  ゴリ,2011年 2月15日
台湾台北市,「陳」,鎮西寿々歌  川ちゃん、椋木ホセマルティン  ゴリ,2011年2月22日
