第5やたがらす丸,国立異次元獣対策センター時空関係調整課が運用するタイムシップ・やたがらす型の5番艦。<br>2095年1月竣工。22世紀と21世紀の、ちょうど100年離れた2つの時点の間を行き来できる。 全長66.6m、重量120t。空間内の最高飛行速度はマッハ2.5。
茶の間戦士,国立異次元獣対策センターの活動に共鳴し、ともに戦おうと立ち上がった地球人。テレビのリモコンを操作し、データ放送を通じて時空関係調整活動を行う。
チャランポリン,トランポリン型茶の間エネルギー転送装置。全国の茶の間戦士から送られたパワーを、異次元獣と戦うどちゃもんに届けることができる。<br>トランポリンで跳びはねることでエネルギーが発射される。
超次元サンプラザ,超次元帝国を代表するコンサートホール。
超次元ゴミ回収カプセル,超次元ゴミ回収シップ・グレートスイトラーが自動認識して回収するゴミ箱。 グレートスイトラーはこのカプセル以外のものは回収することができない
超次元ゴミ回収船・グレートスイトラー,超次元帝国清掃課回収係が運用する大型ゴミ回収船。直径およそ3,000m。<br>自動運転でさまざまな次元を定時運行し、超次元ゴミ回収カプセルを回収する。地球にやってくるのは木曜日の午後6時52分。
超次元チリトラー808,超次元帝国清掃課地球係が使用する超次元シップ。次元を超えてどこにでも瞬間移動できる。空間内を飛行する際の最高速は333km/h。全長25m、重量は不明。
超次元帝国,あらゆる次元を超越した超強大な超文明国家。超高度な超科学力を誇る。
超次元帝国清掃課,次元の秩序を守るため、あらゆる次元の“掃除”を行う、超次元帝国の機関。<br>超次元帝国のエリート集団であり、子どもたちみんなのあこがれの的。最高責任者は総監と呼ばれている。
超次元帝国清掃課地球係,超次元帝国清掃課現地対策部の、地球を担当する部署。次元ゴミをまき散らす地球をきれいに“掃除”するため、地球人類を滅ぼすことを目的に活動する。
超次元マイアンテナ,超次元帝国の成人が必ず頭に装着しているアンテナ。<br>超次元帝国住民課と常時通信しており、貯金額や公共料金の支払状況、健康状態、学歴、職歴、家柄など、あらゆる情報が管理される。<br>成人式で授与され、頭につけると徐々に一体化し、はずれなくなる。超次元帝国の子どもには、ペーパークラフトなど、本物を模して作られたおもちゃが人気。
超蝶野ロボ,国立異次元獣対策センター装備開発課が開発した探索・戦闘用ロボット。<br>オモイデ界や超次元帝国清掃課のアジトなど、人間が搭乗する乗り物が使用できない空間で使用する。操縦は、第5やたがらす丸コクピットから行う。
てれび戦士,国立異次元獣対策センター時空関係調整課にスカウトされた地球人の子どもたち。日本各地の最前線で時空関係調整活動を行う。<br>「テレビ戦士」「TV戦士」「テレビ選手」「天てれ戦士」「天テレ戦士」「こども戦士」等の表記・呼称は誤り。また、「戦士」と略してはならない。
てれび戦士バッジ,てれび戦士の制服であるベストに装着されているバッジ。第5やたがらす丸との通信機能、現在位置発信機能を持つ。
特定脅威分析官,環境保安省から国立異次元獣対策センターに派遣された係官。<br>特に警戒すべき脅威に指定された異次元獣を撃退するために、あらゆる物事を分析して時空関係調整活動をサポートする。
どちゃだま,どちゃもんのエネルギーの集合体であり、異次元獣のコアが持つうらみを浄化する力を持つ。<br>次元ダンスマスターが開発したダンスと、茶の間戦士がリモコンで送るパワーにより成長する。
どちゃもん,日本の都道府県ごとに生息する精霊のような存在。体が各都道府県の形をしている。どちゃもんが発するパワーの影響により、現在の都道府県は定められた。
どちゃもんバリア,異次元獣の攻撃からどちゃもんを守るためのバリア。
