４月４日,DAIGO,寺田朱里 長谷川ニイナ
４月１１日,楳図かずお,浅賀玲音 山田陶子
４月１８日,トリンドル玲奈,長谷川ニイナ ソーズビー航洋
４月２５日,尾木直樹,金子隼也 岡田結実
５月９日,中川翔子,竹原司 黒澤美澪奈
５月１６日,平野綾,浅賀玲音 延命杏咲実
５月２３日,嗣永桃子,寺田朱里 山田陶子
５月３０日,益若つばさ,島田太一 黒澤美澪奈
６月１３日,DaiGo,金子隼也 岡田結実
６月２０日,福田彩乃,浅賀玲音 竹原司
６月２７日,服部幸應,寺田朱里 島田太一
７月４日,西島隆弘(AAA),鎮西寿々歌 浅賀玲音
７月１１日,和田アキ子,寺田朱里 竹原司
９月１２日,松坂桃李,金子隼也 山田陶子
９月１９日,しずちゃん,長江崚行 長谷川ニイナ
９月２６日,元木大介,鎮西寿々歌 島田太一
１０月１０日,V・I,鎮西寿々歌 長江崚行
１０月１７日,魔沙斗,岡田結実 ソーズビー航洋
１０月２４日,長沼毅,浅賀玲音 竹原司
１０月３１日,ピーター・フランクル,島田太一 長谷川ニイナ
１１月１４日,為末大,長江崚行 金子隼也
１１月２１日,デーブ・スペクター,浅賀玲音 ソーズビー航洋
１１月２８日,武田修宏,鎮西寿々歌 竹原司
１２月５日,吉松育美,寺田朱里 ソーズビー航洋
１月９日,本村健太郎,鎮西寿々歌 岡田結実
１月１６日,デーモン閣下,鎮西寿々歌 竹原司
１月２３日,矢口真里,延命杏咲実 山田陶子
１月３０日,辻口博啓,長谷川ニイナ 竹原司
２月１３日,武田鉄矢,寺田朱里 島田太一
２月２０日,武井壮,寺田朱里 島田太一
