1,矢部昌暉,おとなになりな罪,10年4月7日
2,當山優奈,優等生偽装罪,10年4月14日
3,浅野優惟,趣味はほどほどにしな罪,10年4月21日
4,上原陸,ひとりで起きな罪,10年5月5日
5,寺田朱里エステル,やりっ放しはやめな罪,10年5月12日
6,松岡美羽,もっといっぱい食べな罪,10年5月19日
7,椋木ホセマルティン,しっかり確認しな罪,10年5月26日
8,岡田結実,お母さんに負けな罪,10年6月9日
9,斎藤安里奈ダイアナ,ここでアレはやめな罪,10年6月16日
10,金子凜太朗,逆にめんどく罪,10年6月23日
11,高野洸,お兄さんらしくしな罪,10年6月29日
12,脇菜々香,ちゃんと写りな罪,10年9月8日
13,三井理陽,自分のモノを使いな罪,10年9月15日
14,大原優乃,集めすぎはやめな罪,10年9月22日
15,木島杏奈,手下にするのはやめな罪,10年10月5日
16,齊藤稜駿,意味不明なメッセージはやめてくだ罪,10年10月12日
17,中村嘉惟人,家でもシャキッとしな罪,10年10月19日
18,日比美思,人のことも気にしてくだ罪,10年10月26日
19,野村翔,イバらないでくだ罪,10年11月9日
20,田代ひかり,親の言うことを聞きな罪,10年11月16日
21,白坂奈々,言ったことはやってくだ罪,10年11月23日
22,小川向陽,人にたよるのはやめてくだ罪,11年1月4日
23,水本凜,ブッ壊すのはやめてくだ罪,11年1月10日
24,伊藤元太,ガッつくのはやめな罪,11年1月17日
25,玉川桃奈,ビミョ～だからやめな罪,11年1月24日
26,鎮西寿々歌,アレがうる罪,11年2月7日
27,長江崚行,仕事させてくだ罪,11年2月14日
28,風戸蘭七,早くしな罪,11年2月21日
