青忍者,木村遼希、日向滉一、長谷川あかり,２００７,「開運！お宝争奪戦 冬の陣」
赤忍者,木内梨生奈、小関裕太、ミッチェル・ベンジャミン,２００７,「開運！お宝争奪戦 冬の陣」
悪魔なエンジェル,大沢あかね、中田あすみ、安齋舞、徐桑安,１９９９,MTK「運命'99」
あけおめチーム,ゴルゴ男爵、洸太レイシー、篠原愛実,２００５,木曜生放送「ユゲトモ」
あっちチーム,一木有海、日向滉一、笠原拓巳、藤田ライアン、<br>小関裕太、藤井千帆、細田羅夢、丸山瀬南、<br>荒木次元、メロディー・チューバック,２００７,ウキウキ木曜「ウキウキランキングSHOW」
アップル･シェイク,ダーブロウ有紗、モニーク・ローズ、岩井七世,２００１,MTK「元気を出して」「Twilight」
Our Treasures,飯田里穂、前田公輝、バーンズ勇気、木内江莉,２００５,ユニット名は視聴者応募。略してアワトレ<br>MTK「僕らのハーモニー」<br>「ムカつくけれど…スキ！」
アンダーアリサーズ,ゴルゴ伯爵、堀江幸生、ド・ランクザン望、篠原愛実,２００４,「ドラマ」ダンスグランプリ
アンダーワールドファミリー,ゴルゴ伯爵、堀江幸生、飯田里穂、ド・ランクザン望、中村有沙、<br>洸太レイシー、篠原愛実、伊倉愛美、髙橋郁哉、近藤エマ、張沢紫星,２００４,04年度チーム編成
yellow fighters,マイケル・メンツァー、前田公輝、ジョアン・ヤマザキ,２００３,「戦国フリースロー」
いささかペンギンズ,笠原拓巳、長谷川あかり、中村あやの,２００８,「紙フトタッチダウン」
いたって普通チーム,永島謙二郎、近藤エマ,２００５,木曜生放送「ユゲトモ」
戌年チーム,レッド長官、バーンズ勇気、藤本七海,２００５,木曜生放送「ユゲトモ」
後ろチーム,千秋レイシー、藤本七海,２００５,木曜生放送「ユゲトモ」
うるわしコアラーズ,武田聖夜、メロディー・チューバック、山田樹里亜,２００８,「紙フトタッチダウン」
英会話クッキング部,阿比留照太、筧礼、稲毛眞生,２０２０,２０２０年６月１５日（月）<br>２０２０年６月２２日（月）放送
Aチーム,レッド長官、バーンズ勇気、浅野優梨愛,２００５,木曜生放送「ユゲトモ」
A.T.7,八木俊彦、張沢紫星、川﨑樹音、岩井七世、俵小百合、<br>ブライアン・ウォルターズ、ド・ランクザン望,２００３,MTK「モンキーマジック」
AB型チーム,伊倉愛美、浅野優梨愛,２００５,木曜生放送「ユゲトモ」
江戸っこたましーズ,岩井七世、ド・ランクザン望、近藤エマ,２００３,「戦国フリースロー」
おあいこトリオ,ダチョウ倶楽部,１９９３<br>１９９４<br>１９９５,天てれ内ではこの名前だった。<br>チョッキー、グースケ、パータンの3人
オオエド・キラメッキー,篠原愛実、小関裕太、細田羅夢,２００６,「紙フトタッチダウン」2ndステージK-1在籍
男の子チーム,木村遼希、笠原拓巳,２００５,木曜生放送「ユゲトモ」
おにぎり一号 梅干し,島田太一、竹原司,２０１２<br>２０１３,MTK「僕んとこ来いブルース」
おにぎり一号 二号,島田太一、勝隆一,２０１１,MTK「こんなもんじゃないブルース」
おもしろチーム,ゴルゴ男爵、伊倉愛美、川﨑樹音,２００５,木曜生放送「ユゲトモ」
快刀ランマーズ,細川藍、日向滉一、ミッチェル・ベンジャミン,２００７,「紙フトタッチダウン」
学者チーム,伊倉愛美、永島謙二郎,２００５,木曜生放送「ユゲトモ」
家族チーム,レッド長官、バーンズ勇気、藤本七海,２００５,木曜生放送「ユゲトモ」
彼女ふりむかせ隊,木村遼希、笠原拓巳、藤田ライアン,２００６,お悩み解決！カリスマ占い師」<br>「こちらユゲデールマガジン編集部」
カマトロ3兄弟,俵小百合、村田ちひろ、前田公輝,２００３,「戦国フリースロー」
c@mo.ne,福田亮太、石田比奈子、逵優希、中田あすみ、熊木翔、松下博昭,２０００,「ヒットをねらえ！」<br>MTK「www.access.me」
カラフルチーム,篠原愛実、永島謙二郎,２００５,木曜生放送「ユゲトモ」
カラフルチーム,レッド長官、浅野優梨愛、藤田ライアン,２００５,木曜生放送「ユゲトモ」
カラフルチーム,レッド長官、木内梨生奈、藤田ライアン,２００５,木曜生放送「ユゲトモ」
カラフルチーム,レッド長官、木村遼希、藤本七海,２００５,木曜生放送「ユゲトモ」
カラフルチーム,レッド長官、浅野優梨愛、千秋レイシー,２００５,木曜生放送「ユゲトモ」
かわいこぶりっ子チーム,バーンズ勇気、川﨑樹音,２００５,木曜生放送「ユゲトモ」
黄色チーム,髙橋郁哉、木内江莉,２００５,木曜生放送「ユゲトモ」
