てれび戦士最長記録　６年,山元竜一、村田ちひろ、川﨑樹音
MTK連続出演記録　３曲,ダーブロウ有紗（BIG SMILE BABIES、Twilight、Jump in the Line）<br>モニーク・ローズ（Twilight、Jump in the Line、Be My Frined）<br>バーンズ勇気（ダンゼン！未来、ユウキスイッチ、誕生日のうた2006）
MTK連続出演年数　6年,村田ちひろ 2000～2005年度
年間最多MTK記録(コーラスとVTR出演を両方している作品を含む)　６曲,モニーク・ローズ（元気を出して、本日晴天、Everything You Do、Twilight、Jump in the Line、Be My Friend)
新人最多MTK　１０人,チャチャマンボでおどろうよ
年間MTK最多参加（コーラスのみ・VTR出演のみ含む） ７曲,ジャスミン・アレン（恋のギルティー、スリラー、ハッピーマン、ママ・ミア、カーマは気まぐれ、The Longest Time、世界中の全ての色）
年度最後のMTKに連続参加　３年,木内梨生奈（僕はドライブ、冬のアゲハ、コノユビトマレ！）
最多出演MTK　２４人,コノユビトマレ！、夢のチカラ
てれび戦士以外のMTK最多記録　２曲,山川恵里佳（クレマチス、Go！Go！たまご丼）<br>間寛平（Go！Go！たまご丼、チャチャマンボでおどろうよ）<br>出川哲朗（スパイラルな日々と夢、背中で美学）<br>鈴木あきえ（ギャラクシー刑事、ダークマター）
最多ＭＴＫ曲ユニット　３曲,モンキークイーン（恋のギルティー、ママ・ミア、Everything You Do）<br>ザ・ヤマチーズ（Dynamite、Twilight、ぼくらのロック・シティ）
最多人数ＭＴＫユニット　８人,ユービック（井出卓也、ド・ランクザン望、近藤エマ、川崎樹音、洸太レイシー、伊倉愛美、浅野優梨愛、千秋レイシー）
女子率最高ユニット（男女混合に限る）　８３．３％,ヴィーナス＆マース（井出卓也、村田ちひろ、白木杏奈、ジョアン・ヤマザキ、川﨑樹音、橋本甜歌）
女子最多ＭＴＫ（テーマソングMTK除く）　７人,Friends＆Dreams（橋本甜歌、伊倉愛美、木内江莉、一木有海、大木梓彩、細川藍、加藤ジーナ）
男子最多ＭＴＫ（テーマソングMTK除く）　７人,スピードスター SPEEDSTER（渡邉聖斗、吉野翔太、丸山瀬南、荒木次元、ミッチェル・ベンジャミン、伊藤元太、木村遼）
ＭＴＫソロ最年少　小学４年,安齊舞
ＭＴＫソロ最年長　中学２年,石部里紗、バーンズ勇気、脇菜々香、矢部昌暉、長江崚行、浅賀玲音、寺田朱里、長谷川ニイナ
高音と低音の差が１番ある曲,BIG SMILE BABIES
平均年齢が１番低いユニット　小学３年,八木俊彦＆豕瀬志穂
てれび戦士以外のMTK連続出演,げんしじん（ラッキー・ラブ、わかってナイ！、I LIKE YOU）
連続最年少　３年,川﨑樹音（2003～2005年度）、延命杏咲実（2011～2013年度）
司会最長記録,TIM（2003～2006年度）
てれび戦士以外の最長レギュラー出演年数　7年,げんしじん（1997～2002、2008年度）
てれび戦士以外の最長レギュラー連続出演年数　６年,げんしじん（1997～2002年度）
最多 年度1曲目MTK　3年連続,バーンズ勇気（ラジオスターの悲劇、僕らのハーモニー、ユウキスイッチ）
年度最多MTK競演人数 　13人,井出卓也<br>(村田ちひろ、白木杏奈、ジョアン・ヤマザキ、川﨑樹音、橋本甜歌、前田公輝、<br>バーンズ勇気、ド・ランクザン望、近藤エマ、洸太レイシー、伊倉愛美、浅野優梨愛、千秋レイシー)
天才てれびくん、天才てれびくんワイド、天才てれびくんMAXに現役てれび戦士として出演,山元竜一（1998～2003年度）
レギュラー出演最長兄弟てれび戦士　３年,洸太レイシー・千秋レイシー 兄弟（2004～2006年度）
歌っているのが自分以外は新人というＭＴＫが最も多いてれび戦士　４曲,中田あすみ(YOU ARE MY DREAM、恋は早いもの勝ち、運命'99、本当は何になりたいんだろう)
ナレーション最長記録　６年,鈴木琢磨（2002～2007年度）
最多卒業戦士年度　１７人,２００９年度
最多新人戦士年度　１７人,２０１０年度
CGキャラ連続担当年数　３年,千葉繁　２００２～２００４年度（ブッチョー部長、タマ部長、ラビ零号、ラビ４.８号、ラビ５５号、鬼ラビ）
CGキャラ担当年数　５年,坂口候一　（てっちゃん、ＴＫくん、∞）
最年長てれび戦士の人数が、最も多い年　９人,２００８年度（川﨑樹音、笠原拓巳、小関裕太、細田羅夢、千葉一磨、藤井千帆、長谷川あかり、渡邉聖斗、武田聖夜）
共演した現役てれび戦士の人数が、最も多いてれび戦士　６３人,川﨑樹音
紙フトタッチダウン　全勝優勝,スチームナイツ・サッソウ　２００５年度セカンドステージ
紙フトタッチダウン　最高得点,１４４点　波乱バンジョウズ
紙フトタッチダウン　年間勝利数,１２勝　ムサシ・ジョウネッツ（２００６年度　ファーストステージ・４勝　セカンドステージ・５勝　サードステージ・３勝）
紙フト制覇回数　５回,木村遼希（2005年度2ndステージ、2006年度2ndステージ、2007年度1stステージ、2007年度オールスター戦、2007年度年間チャンピオン）
紙フト出場試合数（K-1・K-2なども含めて）,川﨑樹音（０８年度・９試合　０７年度・８試合　０６年度・１７試合　０５年度・１２試合　０４年度・４試合）
K-2衣装での試合数（チーム単位・チャンピオンシップも含む）,６試合<br>ボウソウ・ゴリオッシュ（昇格戦・１試合　チャンピオンシップ・５試合）<br>６試合　うるわしコアラーズ（昇格戦・K-1代表決定戦・チャンピオンシップ）
K-2衣装での試合数（個人）,１５試合　笠原拓巳（０５年度・３試合　０６年度・４試合　０７年度・４試合　０８年度・４試合）
学年別最多てれび戦士人数,１４人<br>９６年度生まれ（ジーナ、瀬南、次元、帆乃香、メロディー、翔太、翼、ことり、樹里亜、稜駿、菜々香、美知代、優奈、陸）<br>９７年度生まれ（瑠璃、ベンジャミン、理来、元太、あやの、凜、真優香、青來、蘭七、美羽、杏奈、昌暉、翔、理陽）
学年別最小てれび戦士人数,２人<br>１９８２年度生まれ　（クリスティー・コーサル、須山彩）<br>２００２年度生まれ（相澤侑我 瀧澤翼）<br>２００５年度生まれ（久住 健斗、玉城美海）
卒業てれび戦士がメインとして参加したMTK,Everything You Do (モンキークイーン)、僕らのナツ!!（Dream5）、恋のダイヤル6700（Dream5）
大天開始時に加入し、大天終了時に卒業,島田太一、延命杏咲実（2011年～2013年度）
烈天開始時に加入し、烈天終了時に卒業,瀧澤翼、飯島緋梨、林武尊、桐畑カレン（2014～2016年度）
YOU開始時に加入し、YOU終了時に卒業,久住健斗、玉城美海、堰沢結衣、齋藤泰世（2017～2019年度）
企画・コーナーからのグループによるMTK,HONEY BEAT(2000、ヒットをねらえ！)<br>www.access.me(2000、ヒットをねらえ！)<br>空になりたい(2001、TTK ROCKS)<br>Go！Go！たまご丼(2003、こちらHK学園笑芸部！)<br>Friends＆Dreams(2006、天てれ女子一輪車部)<br>I don't Obey～僕らのプライド～（2009、MTK全国オーディション）<br>絶対 Catch A Dream（2010、MTK全国オーディション）
専用テーマソングがある天てれドラマ,ダッシュマン！<br>ミラクルボイス
司会者と一緒にハッピーサプライズ,ライアンとゴルゴ男爵（２００５年度）<br>聖斗と団長とクロちゃん（２００７年度）<br>瑠璃とヒロくん（２００７年度）
